N,E
2,0.0
3,0.0
4,0.0003844414292175486
5,0.0012149799885648944
6,0.0013322884012539184
7,0.0010891152540201167
8,0.004979496192149971
9,0.006712071858651666
10,0.013411295187711725
11,0.006535504296698326
12,0.010610365013774103
13,0.01139988400753951
14,0.012325711098717234
15,0.015502244668911336
16,0.01559315124337546
17,0.016855187822929756
18,0.016205097330925147
19,0.01719777440566515
20,0.018567298425955673
21,0.022879222019623165
22,0.019900996722188775
23,0.02380473243782596
24,0.025825537698888623
25,0.024461763424802437
26,0.021557567012112467
27,0.02300405953991881
28,0.024749272080232934
29,0.02352806082363322
30,0.02255109231853418
31,0.02377334390415786
32,0.02355932388341463
33,0.022352608511239925
34,0.022634073600681686
35,0.02533659842981877
36,0.02576483345714115
37,0.02349463628533396
38,0.024974784019646538
39,0.022355631789594054
40,0.025395671834625322
41,0.023542493826149837
42,0.02360803027196302
43,0.024702788547473462
44,0.023275518341307814
45,0.02252028481536678
46,0.021554283600541232
47,0.02344412699899562
48,0.02371307067268695
49,0.02505486826695011
50,0.02451394164486086
51,0.024362677950623645
52,0.02415892855636802
53,0.026246043794869157
54,0.02224066983664449
55,0.022097568329821696
56,0.023077596777018743
57,0.024466382169532064
58,0.024861044611445348
59,0.023623154287806855
60,0.02593153996699797
61,0.023229378331419148
62,0.023721116641470627
63,0.02432410198553305
64,0.02473823544385426
65,0.024709028953278676
66,0.025185899461681618
67,0.026106442114077782
68,0.025465173592926896
69,0.025736253261087697
70,0.02520440642268053
71,0.025488956775167663
72,0.026232609074392094
73,0.026804600213571585
74,0.027161380437217515
75,0.026482718824660054
76,0.02666388515445119
77,0.02989961720802101
78,0.03123665365553271
79,0.030724178417582595
80,0.029520806592629793
81,0.028714793343384795
82,0.03024364040569505
83,0.030676829831467824
84,0.03298694350058717
85,0.03264195679487699
86,0.03375416075638977
87,0.03148262557616945
88,0.03416766648087442
89,0.03166461558489132
90,0.03178827221976023
91,0.03081381666918319
92,0.033594755775661234
93,0.03291481149211412
94,0.03222754083781274
95,0.03362270270997786
96,0.03405235014304873
97,0.03457281343631313
98,0.03488385312061844
99,0.03523762750376341
100,0.03526769107505651
