N,plain,Строки и столбцы,Только строки
2,0.0,11.529411764705882,16.0
3,0.8181818181818182,4.882352941176471,4.764705882352941
4,0.0,5.117647058823529,5.235294117647059
5,0.0,5.647058823529412,5.705882352941177
6,0.09090909090909091,5.9411764705882355,6.176470588235294
7,0.45454545454545453,6.117647058823529,5.823529411764706
8,0.6363636363636364,7.0588235294117645,7.352941176470588
9,2.0,7.352941176470588,7.0588235294117645
10,1.8181818181818181,7.294117647058823,7.9411764705882355
11,3.0,8.058823529411764,7.823529411764706
12,3.272727272727273,8.352941176470589,8.470588235294118
13,3.727272727272727,9.058823529411764,8.764705882352942
14,4.181818181818182,9.235294117647058,9.0
15,3.8181818181818183,9.0,8.764705882352942
16,5.181818181818182,9.823529411764707,9.647058823529411
17,6.909090909090909,10.235294117647058,10.294117647058824
18,8.727272727272727,11.352941176470589,12.058823529411764
19,9.909090909090908,13.882352941176471,14.647058823529411
20,10.363636363636363,13.235294117647058,13.058823529411764
21,11.545454545454545,14.058823529411764,12.352941176470589
22,12.636363636363637,15.117647058823529,12.705882352941176
23,12.636363636363637,15.117647058823529,14.0
24,17.636363636363637,17.41176470588235,14.705882352941176
25,14.454545454545455,19.352941176470587,17.88235294117647
26,17.818181818181817,16.235294117647058,14.823529411764707
27,17.818181818181817,16.352941176470594,15.588235294117647
28,20.636363636363637,19.764705882352942,16.705882352941178
29,19.818181818181817,21.352941176470587,19.88235294117647
30,22.0,18.11764705882353,18.823529411764703
31,23.181818181818183,21.823529411764707,17.41176470588235
32,24.636363636363637,18.41176470588235,17.29411764705882
33,25.363636363636363,20.529411764705884,18.058823529411764
34,28.90909090909091,21.647058823529413,18.529411764705884
35,30.09090909090909,21.176470588235293,18.764705882352942
36,31.363636363636363,23.235294117647058,19.88235294117647
37,30.90909090909091,22.647058823529413,20.647058823529413
38,35.0,23.11764705882353,20.88235294117647
39,34.36363636363637,22.764705882352942,21.294117647058822
40,37.90909090909091,23.705882352941178,22.058823529411764
41,39.72727272727273,24.470588235294116,23.529411764705884
42,40.45454545454545,23.529411764705884,22.764705882352942
43,41.27272727272727,24.235294117647058,24.470588235294116
44,43.63636363636363,24.176470588235293,24.58823529411765
45,47.09090909090909,25.529411764705884,24.764705882352942
46,48.63636363636363,25.176470588235293,25.647058823529413
47,50.54545454545455,26.705882352941178,26.764705882352942
48,52.81818181818182,26.176470588235293,26.352941176470587
49,56.09090909090909,26.529411764705884,28.647058823529413
50,57.0,28.176470588235293,27.705882352941178
51,58.27272727272727,28.058823529411764,28.647058823529413
52,60.72727272727273,29.058823529411764,29.058823529411764
53,61.81818181818182,31.470588235294116,31.176470588235293
54,66.63636363636364,30.88235294117647,30.470588235294116
55,68.18181818181819,32.0,32.588235294117645
56,71.9090909090909,31.176470588235293,31.647058823529413
57,74.45454545454545,33.588235294117645,33.8235294117647
58,80.54545454545455,32.8235294117647,33.58823529411765
59,80.0,35.294117647058826,35.8235294117647
60,84.18181818181819,33.88235294117647,34.76470588235295
61,85.18181818181819,37.411764705882355,38.294117647058826
62,89.9090909090909,35.8235294117647,37.35294117647059
63,92.54545454545455,36.88235294117647,38.1764705882353
64,98.54545454545455,39.588235294117645,40.0
65,100.36363636363636,41.76470588235294,41.411764705882355
66,106.27272727272727,41.8235294117647,43.705882352941174
67,109.36363636363636,44.35294117647059,48.470588235294116
68,116.0,43.23529411764706,45.411764705882355
69,116.63636363636364,45.05882352941177,45.94117647058823
70,122.0,45.05882352941177,46.705882352941174
71,124.72727272727273,48.294117647058826,51.0
72,129.63636363636363,47.23529411764706,48.64705882352941
73,141.36363636363637,50.05882352941177,53.23529411764706
74,141.9090909090909,47.705882352941174,51.411764705882355
75,146.36363636363637,49.411764705882355,51.88235294117647
76,154.0,50.588235294117645,55.0
77,160.0,51.529411764705884,55.529411764705884
78,166.0909090909091,52.588235294117645,56.64705882352941
79,169.63636363636363,56.23529411764706,60.05882352941177
80,175.72727272727272,53.23529411764706,57.529411764705884
81,181.45454545454547,54.35294117647059,59.8235294117647
82,192.36363636363637,55.411764705882355,62.8235294117647
83,199.45454545454547,60.88235294117647,68.05882352941177
84,206.0909090909091,56.1764705882353,64.05882352941177
85,212.0,57.588235294117645,64.76470588235294
86,224.45454545454547,58.35294117647059,67.70588235294119
87,229.9090909090909,60.470588235294116,69.29411764705883
88,230.0909090909091,62.1764705882353,72.05882352941177
89,241.45454545454547,66.0,76.6470588235294
90,244.8181818181818,62.588235294117645,73.76470588235294
91,259.3636363636364,62.705882352941174,75.17647058823529
92,261.45454545454544,64.6470588235294,75.29411764705883
93,268.09090909090907,65.41176470588235,75.41176470588235
94,275.45454545454544,67.76470588235294,76.76470588235294
95,285.09090909090907,69.11764705882354,78.76470588235294
96,289.6363636363636,68.41176470588235,77.70588235294117
97,299.27272727272725,75.17647058823529,84.88235294117646
98,308.72727272727275,73.05882352941177,82.23529411764706
99,315.27272727272725,73.88235294117646,83.47058823529412
100,329.3636363636364,77.58823529411765,86.52941176470588
