N,E
2,0.0
3,0.0
4,0.0003946513139567277
5,0.0006344230482161517
6,0.0008054836060395477
7,0.0003610875106202209
8,0.0013028816676885348
9,0.0017743450579271475
10,0.003108462762982403
11,0.0024757564335400745
12,0.00486730905931601
13,0.005320228710626924
14,0.005920700125022326
15,0.0074854355778349825
16,0.007346350832266325
17,0.008874738978265346
18,0.009158963307434924
19,0.009927007299270074
20,0.010602391958324162
21,0.012654276521154492
22,0.013645537106687458
23,0.01613471549705608
24,0.016463128708026666
25,0.016008347755268246
26,0.013606005409284099
27,0.014944325063488962
28,0.015566973597191839
29,0.01579669214912921
30,0.01675289480167529
31,0.01684166185624912
32,0.01621284712313954
33,0.017085981066009597
34,0.017419460611525533
35,0.01821676799915593
36,0.019342700734605967
37,0.01910708372602461
38,0.020364256171257616
39,0.018105414259750183
40,0.01937292102993717
41,0.018847006651884702
42,0.019236416290325846
43,0.01931818181818182
44,0.01922760210803689
45,0.01918826129897004
46,0.019985648783305648
47,0.02001101605323241
48,0.021567348122372047
49,0.021172062773929027
50,0.021192796678883016
51,0.021421473148626625
52,0.02192180241679358
53,0.022512083691981724
54,0.02053240000556104
55,0.020704850368308263
56,0.021303975798899092
57,0.022083621076909667
58,0.02297739297739298
59,0.022822035504453848
60,0.024714423299645242
61,0.02387597086937834
62,0.02358426992628359
63,0.023957103502558048
64,0.024501921719350537
65,0.02482382820749369
66,0.02468640626075538
67,0.024915873600084126
68,0.025644770995129317
69,0.02581889652812031
70,0.02596061971061971
71,0.02596295536808572
72,0.027284493916645093
73,0.027217010140055762
74,0.027922271440376047
75,0.028188976725894047
76,0.02945381145634631
77,0.03163874483085893
78,0.032304651869869264
79,0.03248814536153533
80,0.03155057993661851
81,0.03155371900826446
82,0.03235954672544415
83,0.03273839412909009
84,0.035031306612945484
85,0.03531455882836565
86,0.03804936785069235
87,0.035836542207176615
88,0.036347054448977956
89,0.034852316878927835
90,0.03535778312092689
91,0.036564598398760334
92,0.03790156494323744
93,0.036539614231921924
94,0.03628808986646089
95,0.03708555887758344
96,0.03704722617518105
97,0.03814445277339789
98,0.038355397657829825
99,0.039624626287232866
100,0.03981832719949817
