N,Строки и столбцы,Только строки
2,7.545454545454546,17.181818181818183
3,3.272727272727273,1.9090909090909092
4,2.1818181818181817,1.2727272727272727
5,4.7272727272727275,5.636363636363637
6,5.818181818181818,11.454545454545455
7,2.5454545454545454,3.6363636363636362
8,4.636363636363637,7.181818181818182
9,7.181818181818182,7.636363636363637
10,11.909090909090908,7.2727272727272725
11,6.090909090909091,5.454545454545454
12,6.0,8.181818181818182
13,6.090909090909091,6.181818181818182
14,6.454545454545454,7.0
15,8.545454545454545,5.7272727272727275
16,9.818181818181818,8.636363636363637
17,6.909090909090909,8.454545454545455
18,5.454545454545454,8.363636363636363
19,4.909090909090909,8.090909090909092
20,6.636363636363637,6.545454545454546
21,6.363636363636363,9.0
22,7.0,13.181818181818182
23,8.363636363636363,11.727272727272727
24,9.0,14.0
25,10.636363636363637,13.454545454545455
26,13.818181818181818,16.818181818181817
27,17.545454545454547,12.909090909090908
28,13.727272727272727,10.545454545454545
29,20.09090909090909,11.909090909090908
30,20.09090909090909,12.454545454545455
31,20.363636363636363,16.636363636363637
32,19.727272727272727,19.727272727272727
33,29.181818181818183,21.818181818181817
34,31.0,32.18181818181818
35,30.363636363636363,33.72727272727273
36,39.18181818181818,58.27272727272727
37,32.63636363636363,28.181818181818183
38,27.272727272727273,37.09090909090909
39,35.18181818181818,41.54545454545455
40,41.81818181818182,45.27272727272727
41,56.81818181818182,41.81818181818182
42,72.27272727272727,53.54545454545455
43,52.09090909090909,58.0
44,48.27272727272727,58.81818181818182
45,49.09090909090909,50.27272727272727
46,53.81818181818182,52.18181818181818
47,57.45454545454545,52.0
48,54.18181818181818,46.09090909090909
49,55.54545454545455,44.72727272727273
50,46.36363636363637,47.54545454545455
51,44.36363636363637,48.90909090909091
52,49.81818181818182,52.81818181818182
53,51.36363636363637,59.18181818181818
54,59.0,51.90909090909091
55,56.0,56.54545454545455
56,68.18181818181819,56.27272727272727
57,62.18181818181818,58.81818181818182
58,66.81818181818181,67.27272727272727
59,62.81818181818182,64.18181818181819
60,66.18181818181819,66.72727272727273
61,73.45454545454545,68.0909090909091
62,79.0909090909091,74.36363636363636
63,79.36363636363636,73.27272727272727
64,75.9090909090909,75.9090909090909
65,78.63636363636364,81.54545454545455
66,90.81818181818181,81.27272727272727
67,96.27272727272727,87.0
68,101.36363636363636,102.9090909090909
69,100.54545454545455,92.54545454545455
70,102.0909090909091,94.27272727272727
71,107.36363636363636,98.63636363636364
72,121.63636363636364,104.18181818181819
73,109.27272727272727,107.0
74,111.18181818181819,109.72727272727273
75,124.45454545454545,118.0
76,126.0,124.0909090909091
77,119.36363636363636,125.9090909090909
78,122.72727272727273,131.45454545454547
79,134.1818181818182,125.36363636363636
80,136.72727272727272,135.72727272727272
81,129.9090909090909,147.63636363636363
82,153.9090909090909,142.8181818181818
83,148.8181818181818,150.8181818181818
84,150.54545454545453,164.1818181818182
85,161.0,154.36363636363637
86,167.8181818181818,175.1818181818182
87,162.0,175.36363636363637
88,177.63636363636363,173.9090909090909
89,174.54545454545453,189.1818181818182
90,189.0909090909091,180.63636363636363
91,175.72727272727272,197.9090909090909
92,190.8181818181818,195.45454545454547
93,197.36363636363637,205.9090909090909
94,198.54545454545453,220.9090909090909
95,207.63636363636363,216.0909090909091
96,213.1818181818182,221.1818181818182
97,219.0,228.0
98,225.1818181818182,236.36363636363637
99,223.8181818181818,238.45454545454547
100,234.8181818181818,248.27272727272728
