N,Строки и столбцы,Только строки
2,27.363636363636363,35.72727272727273
3,16.0,7.454545454545454
4,39.90909090909091,35.90909090909091
5,10.272727272727273,7.2727272727272725
6,14.363636363636363,5.7272727272727275
7,33.36363636363637,14.909090909090908
8,12.272727272727273,11.545454545454545
9,7.545454545454546,16.818181818181817
10,15.545454545454545,9.090909090909092
11,10.181818181818182,11.909090909090908
12,6.636363636363637,5.454545454545454
13,12.181818181818182,4.090909090909091
14,4.909090909090909,11.454545454545455
15,3.909090909090909,8.636363636363637
16,4.909090909090909,6.454545454545454
17,3.8181818181818183,19.818181818181817
18,4.181818181818182,21.90909090909091
19,4.363636363636363,16.09090909090909
20,7.818181818181818,6.545454545454546
21,9.181818181818182,7.818181818181818
22,15.181818181818182,7.909090909090909
23,6.181818181818182,19.636363636363637
24,8.363636363636363,12.454545454545455
25,20.818181818181817,10.818181818181818
26,15.090909090909092,8.363636363636363
27,11.0,13.090909090909092
28,23.0,13.181818181818182
29,37.09090909090909,16.454545454545453
30,24.818181818181817,26.636363636363637
31,32.63636363636363,37.63636363636363
32,59.27272727272727,21.818181818181817
33,45.36363636363637,25.636363636363637
34,36.27272727272727,33.63636363636363
35,34.54545454545455,45.36363636363637
36,33.54545454545455,42.45454545454545
37,49.90909090909091,55.63636363636363
38,47.54545454545455,36.81818181818182
39,84.54545454545455,41.0
40,58.18181818181818,70.45454545454545
41,92.0,54.27272727272727
42,47.54545454545455,56.90909090909091
43,36.63636363636363,51.45454545454545
44,36.36363636363637,42.09090909090909
45,43.27272727272727,34.72727272727273
46,36.81818181818182,45.09090909090909
47,45.54545454545455,50.27272727272727
48,38.18181818181818,47.27272727272727
49,63.54545454545455,38.0
50,43.81818181818182,41.36363636363637
51,49.54545454545455,56.09090909090909
52,36.81818181818182,47.45454545454545
53,48.54545454545455,53.09090909090909
54,56.81818181818182,53.27272727272727
55,57.63636363636363,56.81818181818182
56,61.09090909090909,47.63636363636363
57,67.27272727272727,52.09090909090909
58,80.18181818181819,50.45454545454545
59,58.63636363636363,56.0
60,59.09090909090909,77.9090909090909
61,64.54545454545455,84.63636363636364
62,81.27272727272727,67.36363636363636
63,75.9090909090909,75.9090909090909
64,86.63636363636364,58.45454545454545
65,66.0,69.27272727272727
66,69.36363636363636,106.54545454545455
67,98.72727272727273,77.45454545454545
68,94.27272727272727,99.27272727272727
69,99.54545454545455,75.54545454545455
70,87.0909090909091,85.81818181818181
71,89.27272727272727,118.63636363636364
72,105.9090909090909,141.36363636363637
73,115.0909090909091,97.45454545454545
74,103.63636363636364,94.36363636363636
75,102.63636363636364,111.36363636363636
76,131.0,117.72727272727273
77,119.0,117.81818181818181
78,117.54545454545455,96.0
79,123.54545454545455,146.0909090909091
80,136.36363636363637,143.63636363636363
81,134.54545454545453,109.36363636363636
82,130.8181818181818,140.54545454545453
83,155.1818181818182,141.27272727272728
84,141.63636363636363,142.9090909090909
85,159.45454545454547,165.1818181818182
86,150.45454545454547,144.63636363636363
87,158.54545454545453,163.9090909090909
88,178.54545454545453,174.63636363636363
89,157.27272727272728,150.54545454545453
90,194.36363636363637,172.0
91,169.0909090909091,166.9090909090909
92,182.54545454545453,190.54545454545453
93,174.27272727272728,178.54545454545453
94,190.72727272727272,204.36363636363637
95,199.9090909090909,180.54545454545453
96,194.9090909090909,198.45454545454547
97,264.72727272727275,199.0909090909091
98,208.63636363636363,211.1818181818182
99,241.72727272727272,216.27272727272728
100,217.63636363636363,207.36363636363637
