N,E
2,0.0
3,0.0
4,0.0002583979328165375
5,0.00048426150121065375
6,0.0006629834254143647
7,0.0003552397868561279
8,0.002325581395348837
9,0.003551609322974473
10,0.006841046277665996
11,0.003262955854126679
12,0.004654895666131621
13,0.0072620215897939155
14,0.008803611738148984
15,0.013506493506493508
16,0.01574344023323615
17,0.022539682539682537
18,0.01769499417927823
19,0.021917808219178082
20,0.027419354838709675
21,0.02955899880810489
22,0.03753351206434317
23,0.04658298465829846
24,0.04865556978233035
25,0.04596273291925465
26,0.04421855146124524
27,0.050063211125158026
28,0.05654450261780105
29,0.06514935988620199
30,0.06472819216182049
31,0.057271702367531
32,0.059905660377358484
33,0.07018867924528302
34,0.06904487917146145
35,0.08155583437892096
36,0.08236658932714618
37,0.07749725576289793
38,0.0923076923076923
39,0.0781316348195329
40,0.09156355455568055
41,0.09144144144144142
42,0.0934169278996865
43,0.09196337741607326
44,0.09386934673366834
45,0.10062893081761004
46,0.10842872008324662
47,0.0999057492931197
48,0.11376673040152965
49,0.10783078307830782
50,0.12238805970149254
51,0.11382405745062836
52,0.11261487050960736
53,0.12080536912751678
54,0.11900684931506848
55,0.1205456095481671
56,0.11315589353612168
57,0.12291831879460743
58,0.13808353808353807
59,0.12696041822255413
60,0.12961956521739132
61,0.1334291876347951
62,0.13814733770970095
63,0.12575855390574564
64,0.13320388349514561
65,0.1432856169052488
66,0.1361042183622829
67,0.14131812420785803
68,0.1456019962570181
69,0.14343434343434344
70,0.14845971563981042
71,0.1564102564102564
72,0.14433862433862435
73,0.16284538506760732
74,0.16193656093489148
75,0.15538302277432714
76,0.17944751381215468
77,0.17108081791626095
78,0.18564977420973408
79,0.17157502329916124
80,0.1770507349454718
81,0.18026440037771482
82,0.17406764960971383
83,0.19789775441949356
84,0.1858569051580699
85,0.19731019522776574
86,0.20953170327393286
87,0.2034941763727122
88,0.20110279637652623
89,0.19894907033144704
90,0.19060752888557586
91,0.19762699295513533
92,0.19900709219858154
93,0.21342998855398704
94,0.19801912568306013
95,0.2106810035842294
96,0.2027470686767169
97,0.19778481012658228
98,0.2111111111111111
99,0.2125591669296308
100,0.20800956365809925
