N,E
2,0.0
3,0.0
4,0.0004152823920265781
5,0.001488095238095238
6,0.002640845070422535
7,0.0011990407673860913
8,0.021653543307086614
9,0.012903225806451613
10,0.15178571428571427
11,0.06159420289855073
12,0.19594594594594594
13,0.20108695652173914
14,0.19499999999999998
15,0.35135135135135137
16,0.17532467532467533
17,0.17401960784313722
18,0.10439560439560439
19,0.14864864864864866
20,0.10580912863070539
21,0.03128153380423814
22,0.03597122302158273
23,0.0736331569664903
24,0.10532150776053216
25,0.07786195286195285
26,0.04142857142857143
27,0.060365853658536583
28,0.0474934036939314
29,0.11636178861788617
30,0.07150837988826816
31,0.09799382716049383
32,0.13065843621399176
33,0.2955508474576271
34,0.2964426877470356
35,0.40222772277227725
36,0.45280612244897966
37,0.21213942307692307
38,0.23481308411214954
39,0.36220472440944884
40,0.2160297239915074
41,0.1578538102643857
42,0.15828611898016995
43,0.24248927038626608
44,0.3130026809651475
45,0.3007518796992481
46,0.37863372093023256
47,0.3552278820375335
48,0.23026315789473686
49,0.3234341252699784
50,0.22610294117647056
51,0.21476964769647694
52,0.38470319634703193
53,0.30927835051546393
54,0.24856938483547925
55,0.43004866180048656
56,0.3147208121827411
57,0.24713010204081634
58,0.14768745620182203
59,0.3299689440993788
60,0.2564516129032258
61,0.448742746615087
62,0.21880776340110908
63,0.2189748201438849
64,0.29705542725173206
65,0.3334390862944162
66,0.3320217917675545
67,0.282994923857868
68,0.20316852367688024
69,0.30387713997985905
70,0.30033557046979864
71,0.24335106382978722
72,0.2627118644067797
73,0.2625094768764215
74,0.3154813529921943
75,0.2640745953553835
76,0.2484700122399021
77,0.27504696305572945
78,0.35495011511895624
79,0.24390567037625865
80,0.33700361010830326
81,0.35273466371027346
82,0.23545283904270298
83,0.3223848069738481
84,0.3453927025355597
85,0.27490328820116056
86,0.3964868255959849
87,0.3124680633622892
88,0.27859013531209076
89,0.349971558589306
90,0.27939248251748255
91,0.37833617262918795
92,0.2978768577494692
93,0.28263945028294263
94,0.2931836569579288
95,0.3449530516431925
96,0.29084967320261434
97,0.3107597454256165
98,0.3007219548315439
99,0.34937759336099583
100,0.3023983315954119
