N,1,2,3,4,5,6,7,8
128,0.7726218097447796,0.6271186440677966,0.5536159600997507,0.4416445623342175,0.2780793319415449,0.24887892376681617,0.21722113502935422,0.20354523227383864
256,1.0026530612244897,0.7130624092888244,0.5706155632984901,0.5154217373059169,0.34118055555555554,0.3192332683560754,0.28577245230339693,0.26110756802721086
384,1.050863091316379,0.7949561403508771,0.674618280252083,0.5810988050131157,0.3820816864295125,0.3367536525631281,0.29914289465293803,0.27966755505681024
512,1.0499556066224474,0.7636077031184715,0.6998242041320731,0.5890272487547612,0.41178820155673906,0.37162636793847975,0.31032779420050477,0.28944223681179454
640,0.990042830976023,0.6823859968865095,0.6848824358827789,0.5712287839298201,0.4252092390500695,0.3714796556392687,0.3181448043901575,0.28321094267074287
768,1.0594655419335548,0.8358725073878169,0.5928308499771038,0.6028000143269041,0.4488041467357789,0.37659573277839314,0.3152466336214062,0.29989085887384176
896,1.0346490750392856,0.7775716379283465,0.6878290460380012,0.5893300248138957,0.4433087050719404,0.36993357884313705,0.32370178547090095,0.2833484831269174
1024,1.0400383339108392,0.8228386128001344,0.7254127094029377,0.616769471143166,0.4553759729919974,0.3902327324689319,0.3272027844287266,0.30762845514042164
