chunk size,t
1,149.36363636363637
2,115.54545454545455
3,135.8181818181818
4,109.0
5,121.36363636363636
6,115.9090909090909
7,123.45454545454545
8,112.81818181818181
9,113.54545454545455
10,87.18181818181819
11,131.9090909090909
12,112.27272727272727
13,117.45454545454545
14,95.9090909090909
15,122.0
16,111.0
17,111.27272727272727
18,94.27272727272727
19,105.36363636363636
20,133.0909090909091
21,125.0909090909091
22,103.9090909090909
23,99.9090909090909
24,124.45454545454545
25,118.0909090909091
26,86.81818181818181
27,115.45454545454545
28,152.8181818181818
29,97.36363636363636
30,124.18181818181819
31,107.36363636363636
32,109.45454545454545
33,116.63636363636364
34,87.54545454545455
35,126.81818181818181
36,105.63636363636364
37,126.63636363636364
38,126.0
39,117.72727272727273
40,108.0909090909091
41,110.54545454545455
42,92.45454545454545
43,119.81818181818181
44,112.45454545454545
45,112.0
46,97.0
47,130.36363636363637
48,122.72727272727273
49,107.45454545454545
50,128.1818181818182
51,159.72727272727272
52,107.54545454545455
53,141.45454545454547
54,146.0909090909091
55,116.54545454545455
56,99.45454545454545
57,120.0
58,146.27272727272728
59,119.81818181818181
60,99.27272727272727
61,121.27272727272727
62,148.45454545454547
63,112.81818181818181
64,110.72727272727273
65,144.54545454545453
66,104.63636363636364
67,114.0
68,125.63636363636364
69,113.27272727272727
70,104.27272727272727
71,127.0909090909091
72,112.36363636363636
73,114.63636363636364
74,108.18181818181819
75,135.63636363636363
76,102.81818181818181
77,112.54545454545455
78,139.0909090909091
79,117.45454545454545
80,114.36363636363636
81,108.45454545454545
82,149.72727272727272
83,103.0909090909091
84,97.63636363636364
85,129.9090909090909
86,115.0
87,103.63636363636364
88,97.36363636363636
89,150.54545454545453
90,123.0
91,99.54545454545455
92,119.0
93,146.0
94,122.45454545454545
95,116.54545454545455
96,102.72727272727273
97,159.0909090909091
98,112.27272727272727
99,105.54545454545455
100,150.36363636363637
101,101.0909090909091
102,119.0
103,117.45454545454545
104,127.0
105,117.0909090909091
106,131.63636363636363
107,147.1818181818182
108,138.1818181818182
109,120.63636363636364
110,104.72727272727273
111,130.54545454545453
112,129.9090909090909
113,120.72727272727273
114,104.63636363636364
115,143.36363636363637
116,118.0909090909091
117,92.45454545454545
118,127.18181818181819
119,115.81818181818181
120,125.81818181818181
121,86.81818181818181
122,129.8181818181818
123,134.9090909090909
124,102.0909090909091
125,109.63636363636364
126,125.54545454545455
127,131.45454545454547
128,111.54545454545455
