N,1,2,3,4,5,6,7,8
11,1.1515151515151516,1.303030303030303,1.222222222222222,0.27272727272727276,6.727272727272727,6.909090909090909,6.41991341991342,5.715909090909091
12,0.8333333333333333,0.8055555555555555,0.5092592592592592,0.40277777777777773,6.694444444444445,5.3240740740740735,5.400793650793651,5.173611111111112
13,1.3170731707317074,1.1951219512195121,0.5934959349593497,1.048780487804878,5.385365853658536,3.650406504065041,4.034843205574913,3.109756097560976
14,1.0434782608695652,0.7717391304347826,1.391304347826087,1.1358695652173914,3.8347826086956522,2.971014492753623,2.288819875776398,2.0869565217391304
15,0.976190476190476,0.6547619047619048,0.2619047619047619,0.3869047619047619,3.633333333333333,3.3174603174603177,2.5306122448979593,2.428571428571429
16,1.2105263157894737,0.736842105263158,0.2280701754385965,0.27631578947368424,2.484210526315789,2.619883040935673,2.3834586466165417,1.9934210526315792
17,0.7368421052631579,0.4605263157894737,0.18859649122807018,0.4210526315789474,1.8684210526315792,1.8092105263157894,1.5112781954887218,1.3799342105263157
18,0.6875,0.5416666666666667,0.1527777777777778,2.268229166666667,1.6666666666666667,1.4427083333333333,1.1279761904761905,0.9778645833333333
19,0.6146788990825689,0.4174311926605505,0.14984709480122324,1.2110091743119267,1.2917431192660551,1.3333333333333333,0.9410222804718218,0.8623853211009175
20,0.5789473684210527,0.5964912280701754,0.17836257309941525,0.6600877192982456,1.2403508771929823,1.172514619883041,0.9423558897243108,0.8333333333333334
21,0.5984251968503937,0.531496062992126,0.6430446194225722,0.40944881889763785,1.146456692913386,1.0380577427821522,0.9280089988751407,0.8307086614173229
22,0.60431654676259,0.39568345323741005,0.7673860911270983,0.4802158273381295,1.0302158273381294,0.9472422062350119,0.7934224049331963,0.6834532374100719
23,0.7122302158273381,0.39208633093525175,0.27577937649880097,0.5,1.1136690647482013,0.9448441247002398,0.7852004110996916,0.7032374100719424
24,0.5515463917525772,0.29896907216494845,0.27147766323024053,1.5038659793814433,0.8010309278350516,0.7302405498281787,0.5633284241531664,0.4800257731958763
25,0.7672955974842768,0.34905660377358494,0.38993710691823896,1.29874213836478,0.8767295597484276,0.8647798742138364,0.7035040431266847,0.6116352201257862
26,0.7602040816326531,0.38265306122448983,0.3622448979591837,1.288265306122449,0.7142857142857143,0.7074829931972789,0.5532069970845481,0.5038265306122449
27,0.903061224489796,0.29336734693877553,0.870748299319728,0.5471938775510204,0.7744897959183674,0.6615646258503403,0.5706997084548106,0.5082908163265306
28,1.0088105726872245,0.32158590308370044,0.3641703377386197,0.42731277533039647,0.6669603524229074,0.618208516886931,0.4946507237256136,0.4377753303964757
29,1.0550458715596331,0.36467889908256884,0.27675840978593275,1.0206422018348624,0.6954128440366973,0.6444954128440368,0.518348623853211,0.4610091743119267
30,0.8140495867768596,0.3409090909090909,0.4380165289256199,0.5134297520661156,0.6603305785123967,0.6322314049586777,0.4905548996458088,0.41683884297520657
31,0.7215686274509803,0.4156862745098039,0.6692810457516339,0.6284313725490196,0.5945098039215686,0.6215686274509803,0.4470588235294118,0.40049019607843134
32,0.7453874538745388,0.5276752767527675,0.5547355473554735,0.5904059040590406,0.574169741697417,0.5455104551045511,0.43015287295730104,0.3773062730627306
33,0.956989247311828,0.6218637992831542,0.5316606929510156,0.4220430107526882,0.5892473118279571,0.521505376344086,0.41679467485919103,0.37141577060931896
34,1.050314465408805,0.5691823899371069,0.8333333333333331,0.125,0.5182389937106918,0.5073375262054507,0.3778077268643306,0.32547169811320753
35,1.1117824773413898,0.6072507552870091,0.5750251762336355,0.1163141993957704,0.5135951661631419,0.4969788519637463,0.3685800604229607,0.32137462235649544
36,0.9797101449275363,0.6362318840579709,0.6318840579710144,0.15869565217391304,0.5124637681159421,0.47632850241545893,0.3619047619047619,0.31123188405797103
37,0.9823529411764705,0.7029411764705882,0.5617647058823529,0.2647058823529412,0.48470588235294115,0.4411764705882353,0.36890756302521005,0.30845588235294114
38,0.9038961038961039,0.5727272727272728,0.4623376623376623,0.1935064935064935,0.4348051948051948,0.4372294372294372,0.32987012987012987,0.2915584415584416
39,1.0952380952380951,0.4933862433862433,0.4462081128747795,0.2943121693121693,0.4962962962962962,0.46075837742504405,0.3439153439153439,0.29828042328042326
40,1.1247002398081534,0.5095923261390887,0.4564348521183053,0.1684652278177458,0.4393285371702638,0.4296562749800161,0.3103802672147996,0.27098321342925663
41,1.2356979405034325,0.5823798627002289,0.4912280701754386,0.30549199084668194,0.4324942791762013,0.3867276887871854,0.2981366459627329,0.2648741418764302
42,1.3325842696629213,0.6943820224719102,0.5632958801498127,0.24325842696629216,0.4152808988764045,0.37640449438202245,0.3043338683788122,0.2581460674157304
43,1.422907488986784,0.7522026431718062,0.28707782672540383,0.16024229074889867,0.3947136563876652,0.4027165932452276,0.2942101950912524,0.25468061674008813
44,1.5145833333333336,0.6927083333333334,0.2416666666666667,0.15156250000000002,0.4208333333333333,0.3711805555555556,0.28601190476190474,0.2479166666666667
45,1.249034749034749,0.6332046332046332,0.1911196911196911,0.3001930501930502,0.39420849420849413,0.3684041184041184,0.2710976282404854,0.23117760617760616
46,1.2261682242990655,0.5448598130841121,0.1881619937694704,0.1752336448598131,0.38093457943925235,0.3376947040498443,0.2624833110814419,0.23014018691588786
47,1.2967625899280575,0.42446043165467623,0.17685851318944842,0.2697841726618705,0.3550359712230216,0.34322541966426856,0.2569373072970195,0.2360611510791367
