N,S
2,0.0
3,0.034090909090909095
4,0.0
5,0.0
6,0.0037239868565169774
7,0.01922207146087743
8,0.023881196066626528
9,0.07112970711297072
10,0.051005100510051
11,0.09941520467836258
12,0.08666100254885302
13,0.09703466518167896
14,0.10026926529042184
15,0.08311023163776046
16,0.09744569589702332
17,0.12402803110300471
18,0.1317616663975456
19,0.14521943573667712
20,0.1407203020621551
21,0.1356411384054784
22,0.12367195268749674
23,0.12129767465735845
24,0.1599030303030303
25,0.13091490289146124
26,0.14980667206186493
27,0.14294907546441288
28,0.1530620339520863
29,0.1480919080919081
30,0.14134542705971276
31,0.15064637197664724
32,0.13553986466607826
33,0.1376698014629049
34,0.14162955200419178
35,0.1568195752745109
36,0.1513431218228266
37,0.14847542962829766
38,0.15025252525252525
39,0.15300728606124103
40,0.15439735157032713
41,0.15391149415761995
42,0.15144841945106202
43,0.14641827287904083
44,0.14235620453237033
45,0.14486888428256506
46,0.13700384122919335
47,0.14863738579358715
48,0.14431197218082464
49,0.15805494025285174
50,0.14428231089934485
51,0.14645717972152036
52,0.13764848484848485
53,0.13658813242904744
54,0.14193937875180826
55,0.13919669858183129
56,0.1449952016907301
57,0.15430053306439995
58,0.1552815521969525
59,0.14884535405494145
60,0.1507681109451021
61,0.1509371387420168
62,0.1513321332133213
63,0.15025047533881455
64,0.15078962441698715
65,0.15926274789338357
66,0.15811625797622647
67,0.15882298122175106
68,0.16182504513376003
69,0.16042218299499855
70,0.16181633767652337
71,0.16645969825432852
72,0.16290790817697973
73,0.17086255372782214
74,0.16212732160312807
75,0.1724550747284321
76,0.17541038525963148
77,0.1799417835406192
78,0.17611935220468156
79,0.1837060887895389
80,0.1770394474554721
81,0.1789077411395008
82,0.18318293850447112
83,0.1840186298017623
84,0.19194354103684078
85,0.19732807709154626
86,0.1985703201877224
87,0.1994211207436372
88,0.19338238268381147
89,0.20315403477986999
90,0.19745275125292203
91,0.2033661647609344
92,0.19734170726489686
93,0.19769000843868545
94,0.19529265463038087
95,0.20412523499749205
96,0.20339632277834524
97,0.20395415368355838
98,0.20158102766798422
99,0.20320896165445926
100,0.21025842351415014
