N,S
2,0.0
3,0.026293177521910984
4,0.0
5,0.0
6,0.003670913409630749
7,0.01515151515151515
8,0.016194882961350025
9,0.05422647527910686
10,0.044473512099411375
11,0.08095238095238094
12,0.07244318181818182
13,0.08656234475906606
14,0.07611446369476348
15,0.07469400564912648
16,0.08502983502983504
17,0.11828252311635998
18,0.1258385380522785
19,0.12898510371710983
20,0.11675402132658594
21,0.11504849195353298
22,0.12171001802729847
23,0.10751660751660752
24,0.1448397013614405
25,0.12194901872321227
26,0.13379376806938642
27,0.12419396921241939
28,0.15043661312958057
29,0.12883712845471929
30,0.13058659217877094
31,0.15382158824781775
32,0.13840653728294178
33,0.14696040156162854
34,0.1435742171938491
35,0.15192915192915193
36,0.14127764127764128
37,0.132925511119288
38,0.13879169582458595
39,0.13380252363303213
40,0.14653354830708173
41,0.15038157122325457
42,0.13281716352400014
43,0.1420891785411834
44,0.14216523223805708
45,0.13710317769231967
46,0.13787196628617338
47,0.1335103678173908
48,0.13629464039300107
49,0.14507005241829524
50,0.14370458253003116
51,0.14495703301673452
52,0.1281325104087919
53,0.13452497323465068
54,0.13569935096049135
55,0.13623541479676882
56,0.13637377794004302
57,0.14805559395569923
58,0.1416147199578785
59,0.14272221639206634
60,0.14060629879061792
61,0.14003393376761525
62,0.14049586776859502
63,0.1360491808433697
64,0.14423355379016162
65,0.14969133340777488
66,0.14866987850858818
67,0.1489729020979021
68,0.15293935163642003
69,0.15095684673149462
70,0.15357275083302482
71,0.15169292004318474
72,0.15129879045847738
73,0.1625089138613618
74,0.15870367380136474
75,0.15976510968163724
76,0.158724384624712
77,0.1656516443361754
78,0.16315413466690482
79,0.16551788910165766
80,0.17099963573918925
81,0.1733674632005436
82,0.18510113874352285
83,0.18466001920963257
84,0.18332611870364995
85,0.18137896326119776
86,0.18350135965794329
87,0.18886897387912174
88,0.1782512511185497
89,0.18577629657059394
90,0.18326328009287057
91,0.1949757591837719
92,0.18532051670810842
93,0.1939628656656362
94,0.19043217863876666
95,0.18491207380944122
96,0.19160316685415912
97,0.1955354304022585
98,0.19078714734681873
99,0.19463399657320563
100,0.2028101209135692
