N,E
2,0.0
3,0.0007817929117442669
4,0.0
5,0.0
6,0.00017146776406035667
7,0.0005378657487091222
8,0.0006955484896661368
9,0.002393385552654482
10,0.001816860465116279
11,0.002657860824742268
12,0.003496503496503497
13,0.004999999999999999
14,0.0068944844124700245
15,0.006465517241379311
16,0.008431952662721894
17,0.011874999999999998
18,0.016415868673050615
19,0.01758064516129032
20,0.018799472295514513
21,0.02080602883355177
22,0.023043766578249338
23,0.022390463917525773
24,0.0318241469816273
25,0.0265
26,0.03173575129533678
27,0.031984334203655346
28,0.03628516624040921
29,0.03466921119592875
30,0.038002512562814075
31,0.04050190597204575
32,0.04223815461346633
33,0.04321561338289963
34,0.04760479041916168
35,0.049610311750599524
36,0.05085495283018868
37,0.04959159859976663
38,0.05557159353348729
39,0.0536322360953462
40,0.05856741573033707
41,0.061933106575963716
42,0.06013513513513513
43,0.06128509719222462
44,0.06479481641468682
45,0.06917735042735043
46,0.07091728525980912
47,0.07099080694586313
48,0.07298994974874372
49,0.07751256281407036
50,0.07668786692759295
51,0.07749032882011606
52,0.07899716177861874
53,0.08018867924528303
54,0.08475948196114709
55,0.0853825136612022
56,0.08907657657657657
57,0.09091918294849023
58,0.09345991561181434
59,0.09159034138218151
60,0.09387672343876724
61,0.09437953263497181
62,0.09788202692003167
63,0.09902723735408561
64,0.10375191424196017
65,0.1063993831919815
66,0.10896718866517524
67,0.1053046218487395
68,0.11007591442374051
69,0.11325918079096046
70,0.11427111716621252
71,0.11223821989528797
72,0.11274509803921569
73,0.119689039408867
74,0.11698141486810552
75,0.12116195063214931
76,0.13038793103448276
77,0.1299468399291199
78,0.1365062761506276
79,0.13656323185011707
80,0.1368980169971671
81,0.1379215035931454
82,0.14493150684931508
83,0.15076965365585487
84,0.15259827679052235
85,0.14796954314720812
86,0.15128676470588234
87,0.15704172876304023
88,0.15700992555831264
89,0.15749525616698293
90,0.15961356092935042
91,0.17096116970278047
92,0.1658975542224273
93,0.17420841209829865
94,0.1771515434985968
95,0.17907720420283232
96,0.1791497975708502
97,0.18103827540695117
98,0.17461949814890992
99,0.18533561351004701
100,0.1860620377978636
