N,E
2,0.0
3,0.001884816753926702
4,0.0
5,0.0
6,0.0002604166666666667
7,0.000898472596585804
8,0.0012142237640936687
9,0.004284323271665044
10,0.0037735849056603774
11,0.005945945945945946
12,0.005975103734439834
13,0.007427536231884057
14,0.010430839002267572
15,0.011009174311926606
16,0.01610169491525424
17,0.02140845070422535
18,0.023999999999999997
19,0.03096590909090909
20,0.03224893917963225
21,0.03489010989010989
22,0.0388268156424581
23,0.03591731266149871
24,0.04993564993564993
25,0.04562410329985653
26,0.055999999999999994
27,0.05164690382081686
28,0.059973579920739775
29,0.057519788918205805
30,0.06057571964956195
31,0.06728232189973615
32,0.06966580976863754
33,0.06788321167883211
34,0.07718446601941749
35,0.07788235294117647
36,0.07805429864253394
37,0.0825242718446602
38,0.09199522102747909
39,0.08059701492537315
40,0.09104803493449781
41,0.09248677248677248
42,0.09632034632034632
43,0.10133928571428572
44,0.09504950495049505
45,0.10146914789422137
46,0.10500490677134444
47,0.11266464032421479
48,0.11336585365853658
49,0.10853122251539138
50,0.11379310344827584
51,0.10919931856899487
52,0.12234432234432235
53,0.11703958691910499
54,0.12206494587843464
55,0.12489592006661117
56,0.13338954468802697
57,0.12334337349397591
58,0.1291545189504373
59,0.13363705391040243
60,0.1392481203007519
61,0.1261952861952862
62,0.13594501718213056
63,0.14872169466764062
64,0.14160679294578707
65,0.1416292495189224
66,0.14778761061946902
67,0.14990654205607476
68,0.15272292040694196
69,0.15646341463414634
70,0.15760422783323547
71,0.15068643602416257
72,0.1559322033898305
73,0.16274201988487705
74,0.1674892703862661
75,0.16797078768909754
76,0.16982456140350877
77,0.1752115480338477
78,0.17138836772983115
79,0.1642605633802817
80,0.1700835899692037
81,0.17244060475161987
82,0.1478169752008383
83,0.1670346402740769
84,0.17259231062047964
85,0.17540428732606245
86,0.1856390977443609
87,0.19936933385888847
88,0.19589783281733747
89,0.18651685393258427
90,0.1898484314416637
91,0.20349500713266763
92,0.20795372378886476
93,0.20996796012815944
94,0.2061224489795918
95,0.21590361445783132
96,0.2033833386530482
97,0.21008296107211227
98,0.20594299575500305
99,0.21547064305684996
100,0.22288526607197784
