POOL TYPE,MATRIX SORT,MATRIX TYPE,#,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
static,RO,table,1,42,26,26,30,24,25,26,32,29,27,24,34,31,29,79,180,47,108,193,71,173,220,204,177,57,159,83,82,70,213,418,207,369,355,420,108,298,123,121,120,159,152,644,982,521,647,820,1106,822,209,199,923,1553,1038,1477,2557,1204,970,973,1699,1029,927,1187,1615,1511,1916,1424,1843,1125,1429,579,2359,647,2088,3235,2925,861,2740,3293,1505,1682,747,2005,2143,1489,3365,3190,2679,1324,3034,1671,1763,1642,4543,2061,1680,5021,2127,3499
static,RO,table,2,27,34,45,38,35,40,37,70,48,34,30,33,66,39,63,52,145,100,90,56,60,56,165,61,147,312,471,374,293,88,381,501,116,579,174,373,199,725,131,154,723,1029,186,217,213,384,942,240,368,1168,797,904,678,298,1378,1627,868,612,1383,455,1149,553,968,1378,760,641,2344,2196,2548,1933,2232,1945,1292,2858,2655,1622,3301,2873,2785,2772,2476,3115,3687,3760,2196,2272,3326,3427,2803,4094,4210,3522,6236,2081,4640,1384,2528,4251,5083
static,RO,table,3,42,36,33,36,30,37,30,33,33,30,29,32,53,83,77,58,75,135,85,209,49,52,62,116,74,153,273,342,189,87,135,112,414,433,192,463,128,195,246,163,744,158,165,445,1096,183,242,243,954,257,399,1274,1556,1719,1456,1393,1013,938,2138,1231,1578,634,1873,1975,1804,2182,1492,1960,2451,1877,2455,2690,1281,2787,1679,3042,865,3392,2188,3399,2820,1631,3787,2899,3307,4177,3545,3193,3598,861,1198,4230,2158,2967,4215,4645,4538,2415,3485
static,RO,table,4,39,37,30,31,31,34,27,41,31,29,29,31,57,82,53,113,43,45,47,94,284,109,194,74,125,134,78,374,260,382,105,534,97,455,504,320,142,548,542,152,871,850,232,438,244,1076,181,195,918,1008,1153,784,286,1067,1510,339,1393,307,1850,1674,1760,1147,1710,1679,446,1934,1458,630,732,1954,2624,672,2800,1714,2558,2026,2303,1595,2582,672,3430,3697,3924,3813,2173,2235,3261,801,1253,1426,3744,3631,3609,3845,4037,4063,3140,3013,4488
static,RO,table,5,51,38,31,30,33,29,41,41,32,28,31,30,36,41,55,41,37,44,120,155,187,58,138,66,79,329,373,282,395,86,89,622,112,101,477,138,152,216,850,855,637,227,181,363,1434,1335,265,264,1098,1261,249,1287,1093,1202,875,847,1488,1287,1133,1671,658,2035,1620,2042,1585,2144,489,2153,2598,2709,1703,3588,3245,2562,1965,2599,1946,2592,2500,2213,1967,2979,3664,3516,3035,2086,3142,2412,2710,3837,4588,3947,3747,4389,3842,3551,5245,2904,4943
static,RO,table,6,43,33,29,34,32,30,26,29,29,39,31,27,30,39,65,82,126,134,264,130,111,110,228,64,71,242,81,205,271,92,315,112,104,559,606,594,132,152,176,297,867,201,1032,153,166,197,200,209,259,284,294,293,1827,1046,1327,1351,459,333,1299,962,2588,1943,1701,1853,1857,470,718,2031,2415,1628,1458,2797,2763,2625,2563,1257,2251,2463,2634,2350,2803,2783,2419,788,839,3916,2580,3849,1942,2865,4037,2690,2101,1999,2181,2050,5003,2987,4475
static,RO,table,7,43,32,36,32,33,36,29,46,31,31,29,32,44,44,37,58,73,115,182,108,92,63,262,75,86,77,87,80,93,317,314,485,326,723,131,856,147,585,149,653,180,483,194,781,1089,876,511,362,646,249,998,1418,324,1267,1531,1241,1693,1461,1795,2058,1256,1310,968,1052,404,1678,2140,2446,1535,1649,2513,2152,966,2427,3155,3124,1665,2718,2383,2917,2351,2843,2938,3932,1929,2033,2194,5073,4128,3577,3610,3735,5125,4770,5136,1525,2460,4950,5182
static,RO,table,8,53,28,29,29,35,34,31,41,30,33,28,32,59,37,45,42,104,156,168,374,56,59,232,311,284,414,336,162,531,442,97,477,388,542,627,124,537,146,821,151,660,155,171,191,189,967,1031,559,1130,1120,1696,257,285,1494,652,1712,1437,1892,2007,2531,1162,1628,1312,1972,1167,2020,2097,1437,2330,549,3634,732,1692,2360,2571,2510,2203,686,3046,680,2935,2304,4564,3008,2894,936,2531,1405,4196,3286,2561,1780,4271,5183,3837,2607,4909,4601,1747
static,RO,table,9,52,28,26,34,32,28,25,37,29,28,45,39,203,96,104,41,123,147,153,228,58,59,62,228,59,290,92,313,335,364,107,408,361,415,129,455,131,423,223,440,1135,897,1049,169,823,234,961,648,1296,1374,1203,1356,1170,931,1117,1555,1740,626,1887,349,1612,1588,387,2126,2187,1433,2025,2286,1912,2351,2443,2278,2416,2452,611,2410,2123,2263,2739,2727,793,2771,2548,1092,3649,2831,3205,1668,3824,3274,2797,1952,4441,3919,1041,2109,1715,3007,1212
