N,E
2,0.0
3,0.0
4,0.0010614385614385615
5,0.0018893087352745055
6,0.00208095315815244
7,0.0008032508032508033
8,0.0037710736468500442
9,0.005504735691734802
10,0.010199040090344438
11,0.0045266587306559735
12,0.010773601398601397
13,0.015175641767998457
14,0.012967454232514473
15,0.018051131258678427
16,0.01828539558600908
17,0.023607416679705843
18,0.023360092572503075
19,0.026397515527950312
20,0.02901994912304191
21,0.03436807095343681
22,0.036721594766401286
23,0.042957874349352373
24,0.04525837910548145
25,0.04334582942830365
26,0.03879242511671825
27,0.04305008441193022
28,0.04427296841089945
29,0.04634744511643411
30,0.04933121741101791
31,0.04851031321619557
32,0.043155832733669144
33,0.04630388940955951
34,0.04797561709813365
35,0.0504492494247416
36,0.052491041297011445
37,0.053338429267252116
38,0.05806287170773153
39,0.051948051948051945
40,0.05560466760961811
41,0.05477082275266632
42,0.05764504187401383
43,0.05809592935341439
44,0.059061151614343096
45,0.058818441311305245
46,0.0559931723353142
47,0.05705564983915499
48,0.062131449631449634
49,0.06266770056372005
50,0.06257930902387052
51,0.06264822134387352
52,0.06371644015392486
53,0.06991249514496561
54,0.06408656975482752
55,0.06514645621490361
56,0.06660207262616902
57,0.0702891591976099
58,0.074480801613205
59,0.07470634461080321
60,0.08160082114033854
61,0.07972992095740596
62,0.07904220428523734
63,0.07939202148062909
64,0.07518309035896026
65,0.0764291703026881
66,0.07907479647218453
67,0.07985087201954671
68,0.08109466971877044
69,0.08372368206299985
70,0.0872905943677671
71,0.08823886934958428
72,0.09260235459497454
73,0.09369876315244902
74,0.09467145350439389
75,0.10140440954394443
76,0.10734893848666303
77,0.11629962465151773
78,0.12010968362841998
79,0.1190452643590719
80,0.11877834827777195
81,0.12051767676767676
82,0.12331930950728662
83,0.12853961299744432
84,0.1389913629044064
85,0.1412525577316574
86,0.15086921111017496
87,0.14784816247582205
88,0.15321316614420064
89,0.14732583035186073
90,0.14664269232326232
91,0.152429177040576
92,0.15882454785179662
93,0.16062114906496597
94,0.16512873091820462
95,0.16691499739419774
96,0.16616491808362188
97,0.16776245152651986
98,0.17628078283182905
99,0.18103404664339556
100,0.1857363523339487
