N,E
2,0.0
3,0.0
4,0.0012149799885648942
5,0.002214118259963532
6,0.0026584653878231855
7,0.001644100580270793
8,0.006478658536585366
9,0.008743731516008744
10,0.017038085131470346
11,0.008508007536504944
12,0.014218966312874943
13,0.01604428119579635
14,0.015582401052928458
15,0.021957277694982614
16,0.019794721407624633
17,0.027053075129998206
18,0.026406147809025508
19,0.030520646319569127
20,0.03334102445777573
21,0.039857812736348516
22,0.04212687623902577
23,0.049786054994388325
24,0.05191590587630192
25,0.04998410680228861
26,0.044315934559837
27,0.04866412213740458
28,0.049293883906996724
29,0.05301214663108012
30,0.055975716417142565
31,0.05398039803980398
32,0.048153269693995894
33,0.05278915501736265
34,0.05457113507960966
35,0.059426493998193004
36,0.06150631879331431
37,0.06080533376565477
38,0.06609284332688588
39,0.060042997542997543
40,0.06376723438767234
41,0.06254530955487893
42,0.06639928698752227
43,0.06760989687818957
44,0.06697543362354053
45,0.0660921402190112
46,0.0633203694701021
47,0.06302638574106717
48,0.07040929973548657
49,0.07173955926280787
50,0.07273144669838884
51,0.07362625351804791
52,0.0762544922134966
53,0.08244867166028992
54,0.07694060953373275
55,0.07714179353546763
56,0.07800666091032442
57,0.07915194770864874
58,0.08495162896571348
59,0.08704190058549983
60,0.094028293135436
61,0.09193473193473194
62,0.09140303863011832
63,0.09239336651563511
64,0.0871095928611266
65,0.08730771486092923
66,0.089739764787404
67,0.08973035920546854
68,0.09350608951397008
69,0.09683158411356085
70,0.09902099332453189
71,0.1009652831868254
72,0.10437710437710437
73,0.10590018530845761
74,0.11018406329068815
75,0.11373442207919558
76,0.12066433566433565
77,0.12851967230043718
78,0.13370234329830288
79,0.133126605754343
80,0.13247766925452875
81,0.13227549889135254
82,0.13874249743814962
83,0.14435487838879504
84,0.15249759074847413
85,0.15255962998626654
86,0.16819825602329477
87,0.16251856484014696
88,0.16577922077922078
89,0.16010118018031808
90,0.1601705282395944
91,0.16736981321669228
92,0.17517149194318365
93,0.17591715626063664
94,0.1769460002872325
95,0.18078693317508793
96,0.18039443969084454
97,0.18563750978418875
98,0.19115204119772417
99,0.1928668633870946
100,0.195513371316774
