N,plain,1,2,3,4,5,6,7,8
2,0.0,0.09090909090909091,3.8181818181818183,39.81818181818182,105.36363636363636,111.9090909090909,134.0,118.81818181818181,119.81818181818181
3,0.0,0.36363636363636365,7.454545454545454,37.27272727272727,66.81818181818181,91.72727272727273,87.54545454545455,117.81818181818181,130.8181818181818
4,0.09090909090909091,0.0,3.4545454545454546,13.272727272727273,11.545454545454545,71.54545454545455,69.36363636363636,112.0909090909091,103.63636363636364
5,0.18181818181818182,0.2727272727272727,9.181818181818182,19.363636363636363,7.363636363636363,75.36363636363636,73.72727272727273,66.0909090909091,67.9090909090909
6,0.2727272727272727,0.9090909090909091,12.454545454545455,8.545454545454545,16.545454545454547,59.45454545454545,70.81818181818181,60.81818181818182,66.27272727272727
7,0.18181818181818182,0.9090909090909091,8.727272727272727,11.0,17.363636363636363,91.27272727272727,103.72727272727273,105.9090909090909,105.63636363636364
8,1.0,1.1818181818181819,8.090909090909092,14.0,6.454545454545454,92.81818181818181,97.81818181818181,109.0909090909091,114.36363636363636
9,1.4545454545454546,1.2727272727272727,6.909090909090909,8.818181818181818,6.909090909090909,93.27272727272727,89.72727272727273,102.63636363636364,104.45454545454545
10,3.090909090909091,1.5454545454545454,5.636363636363637,12.909090909090908,16.0,100.9090909090909,89.45454545454545,117.72727272727273,125.0909090909091
11,1.5454545454545454,1.5454545454545454,6.909090909090909,19.181818181818183,6.2727272727272725,95.72727272727273,98.27272727272727,140.27272727272728,141.0909090909091
12,2.6363636363636362,2.0,7.454545454545454,3.4545454545454546,3.090909090909091,110.63636363636364,113.72727272727273,112.9090909090909,117.0
13,3.3636363636363638,2.3636363636363638,6.363636363636363,3.909090909090909,5.636363636363637,103.27272727272727,93.72727272727273,111.27272727272727,93.18181818181819
14,3.5454545454545454,2.727272727272727,4.363636363636363,6.7272727272727275,5.363636363636363,87.9090909090909,81.81818181818181,72.27272727272727,75.81818181818181
15,4.7272727272727275,3.090909090909091,5.909090909090909,2.909090909090909,7.818181818181818,64.36363636363636,83.18181818181819,62.36363636363637,73.81818181818181
16,4.909090909090909,4.2727272727272725,6.181818181818182,3.4545454545454546,16.272727272727273,54.45454545454545,75.27272727272727,69.54545454545455,76.81818181818181
17,6.454545454545454,4.181818181818182,7.181818181818182,3.4545454545454546,5.2727272727272725,54.81818181818182,65.36363636363636,76.63636363636364,72.72727272727273
18,6.909090909090909,5.363636363636363,11.272727272727273,3.8181818181818183,33.18181818181818,71.0,73.72727272727273,74.72727272727273,66.45454545454545
19,8.0,5.0,10.0,4.0,11.727272727272727,78.18181818181819,71.36363636363636,64.63636363636364,70.45454545454545
20,9.272727272727273,6.0,7.363636363636363,4.7272727272727275,10.454545454545455,74.27272727272727,64.54545454545455,65.0,68.9090909090909
21,11.272727272727273,5.2727272727272725,6.636363636363637,4.818181818181818,29.09090909090909,62.18181818181818,67.0,67.9090909090909,69.36363636363636
22,12.727272727272727,6.545454545454546,9.727272727272727,10.272727272727273,112.81818181818181,56.27272727272727,70.0,72.27272727272727,68.54545454545455
23,15.181818181818182,6.545454545454546,6.454545454545454,8.818181818181818,29.636363636363637,60.18181818181818,62.90909090909091,70.0,70.54545454545455
24,17.272727272727273,7.181818181818182,7.363636363636363,19.181818181818183,21.272727272727273,68.0909090909091,66.0,69.27272727272727,69.27272727272727
25,16.818181818181817,9.0,10.727272727272727,22.727272727272727,48.09090909090909,70.0,64.72727272727273,69.0909090909091,68.18181818181819
26,15.818181818181818,9.909090909090908,10.636363636363637,11.727272727272727,63.54545454545455,73.81818181818181,70.27272727272727,71.36363636363636,70.18181818181819
27,18.0,11.818181818181818,9.818181818181818,12.727272727272727,101.45454545454545,68.18181818181819,68.36363636363636,68.9090909090909,69.63636363636364
28,19.636363636363637,13.272727272727273,11.272727272727273,11.818181818181818,78.27272727272727,58.81818181818182,71.72727272727273,68.27272727272727,71.0909090909091
29,20.818181818181817,13.727272727272727,13.181818181818182,15.363636363636363,41.81818181818182,64.72727272727273,82.81818181818181,69.27272727272727,71.45454545454545
30,23.272727272727273,17.09090909090909,14.909090909090908,33.63636363636363,100.54545454545455,67.27272727272727,83.45454545454545,69.0909090909091,72.36363636363636
31,23.09090909090909,18.181818181818183,19.90909090909091,49.63636363636363,65.72727272727273,70.36363636363636,88.63636363636364,72.0909090909091,71.54545454545455
32,23.09090909090909,20.454545454545453,31.272727272727273,44.72727272727273,71.36363636363636,79.54545454545455,82.18181818181819,76.54545454545455,72.9090909090909
33,25.363636363636363,18.181818181818183,27.09090909090909,75.45454545454545,25.181818181818183,76.72727272727273,72.0909090909091,75.45454545454545,73.36363636363636
34,27.272727272727273,17.181818181818183,28.90909090909091,35.54545454545455,36.27272727272727,71.0909090909091,85.36363636363636,75.72727272727273,75.9090909090909
35,29.545454545454547,20.454545454545453,38.72727272727273,34.36363636363637,21.90909090909091,70.45454545454545,87.0,76.0,75.81818181818181
36,32.27272727272727,21.636363636363637,45.45454545454545,44.81818181818182,16.272727272727273,72.18181818181819,87.36363636363636,76.72727272727273,77.0909090909091
37,32.09090909090909,21.727272727272727,42.36363636363637,36.90909090909091,19.272727272727273,77.18181818181819,81.9090909090909,75.72727272727273,77.9090909090909
38,36.54545454545455,23.727272727272727,46.45454545454545,36.36363636363637,30.0,85.54545454545455,84.54545454545455,79.36363636363636,78.72727272727273
39,33.45454545454545,24.272727272727273,49.63636363636363,80.45454545454545,17.727272727272727,79.18181818181819,89.36363636363636,80.0,80.0909090909091
40,37.0,26.09090909090909,38.27272727272727,57.90909090909091,44.09090909090909,73.63636363636364,88.18181818181819,81.0,80.9090909090909
41,36.90909090909091,26.272727272727273,38.90909090909091,54.09090909090909,46.54545454545455,76.45454545454545,83.54545454545455,83.0,80.18181818181819
42,40.63636363636363,29.09090909090909,44.18181818181818,52.81818181818182,33.18181818181818,84.0909090909091,84.9090909090909,86.54545454545455,84.0909090909091
43,41.09090909090909,30.363636363636363,46.54545454545455,45.72727272727273,41.90909090909091,95.63636363636364,79.9090909090909,84.72727272727273,84.18181818181819
44,42.45454545454545,35.63636363636363,52.90909090909091,39.27272727272727,32.63636363636363,89.9090909090909,85.18181818181819,87.36363636363636,84.18181818181819
45,43.63636363636363,37.09090909090909,47.81818181818182,35.36363636363637,26.454545454545453,82.27272727272727,103.0909090909091,89.18181818181819,85.0909090909091
46,47.36363636363637,38.81818181818182,63.72727272727273,33.0,26.636363636363637,80.0,88.54545454545455,88.63636363636364,85.72727272727273
47,48.18181818181818,38.90909090909091,58.0,41.27272727272727,31.181818181818183,91.72727272727273,93.0,89.27272727272727,89.0
48,54.09090909090909,42.18181818181818,46.27272727272727,36.18181818181818,30.181818181818183,104.0,90.18181818181819,89.9090909090909,90.45454545454545
49,54.45454545454545,46.81818181818182,41.63636363636363,47.36363636363637,40.18181818181818,97.72727272727273,94.72727272727273,91.9090909090909,90.45454545454545
50,55.90909090909091,53.54545454545455,50.54545454545455,78.18181818181819,29.363636363636363,82.9090909090909,96.27272727272727,95.81818181818181,92.9090909090909
51,57.63636363636363,58.72727272727273,49.27272727272727,53.72727272727273,47.72727272727273,91.63636363636364,101.54545454545455,98.72727272727273,94.0
52,61.27272727272727,52.0,54.54545454545455,44.09090909090909,48.72727272727273,107.0909090909091,96.0909090909091,95.45454545454545,96.0909090909091
53,65.45454545454545,58.0,55.72727272727273,45.0,63.63636363636363,112.45454545454545,96.9090909090909,95.72727272727273,96.36363636363636
54,63.18181818181818,62.45454545454545,56.54545454545455,60.54545454545455,85.36363636363636,99.72727272727273,115.27272727272727,99.0909090909091,98.27272727272727
55,64.27272727272727,66.72727272727273,59.0,36.81818181818182,45.63636363636363,95.54545454545455,111.0,100.63636363636364,99.81818181818181
56,67.63636363636364,66.0909090909091,58.36363636363637,62.09090909090909,50.0,110.63636363636364,106.9090909090909,100.54545454545455,100.9090909090909
57,70.45454545454545,67.18181818181819,63.63636363636363,66.0,32.90909090909091,119.36363636363636,119.18181818181819,104.72727272727273,102.36363636363636
58,76.63636363636364,75.0,62.36363636363637,84.9090909090909,37.0,110.54545454545455,121.81818181818181,105.18181818181819,107.72727272727273
59,77.27272727272727,85.63636363636364,67.0909090909091,63.72727272727273,59.63636363636363,108.72727272727273,111.63636363636364,106.27272727272727,109.18181818181819
60,86.72727272727273,81.18181818181819,67.9090909090909,57.09090909090909,79.0909090909091,127.9090909090909,116.36363636363636,113.45454545454545,112.0909090909091
61,84.36363636363636,81.45454545454545,73.45454545454545,65.36363636363636,74.81818181818181,134.63636363636363,121.36363636363636,113.9090909090909,112.81818181818181
62,86.0909090909091,91.81818181818181,73.81818181818181,61.18181818181818,68.0,121.54545454545455,119.36363636363636,121.45454545454545,114.81818181818181
63,88.54545454545455,89.27272727272727,77.54545454545455,90.0,57.0,132.54545454545453,133.9090909090909,120.81818181818181,116.81818181818181
64,93.54545454545455,102.81818181818181,80.0,93.0,56.27272727272727,147.27272727272728,119.45454545454545,121.9090909090909,118.72727272727273
65,95.54545454545455,97.18181818181819,80.18181818181819,80.63636363636364,55.45454545454545,124.27272727272727,119.18181818181819,131.63636363636363,117.9090909090909
66,99.72727272727273,104.54545454545455,86.36363636363636,81.0909090909091,99.54545454545455,132.72727272727272,136.27272727272728,134.8181818181818,121.9090909090909
67,101.36363636363636,105.27272727272727,86.63636363636364,73.0909090909091,143.0,158.1818181818182,131.8181818181818,127.81818181818181,129.8181818181818
68,106.0909090909091,118.81818181818181,89.45454545454545,99.72727272727273,63.54545454545455,144.36363636363637,121.0909090909091,134.8181818181818,131.72727272727272
69,109.72727272727273,112.72727272727273,93.36363636363636,96.63636363636364,67.0909090909091,143.63636363636363,159.0,132.45454545454547,128.72727272727272
70,113.9090909090909,122.63636363636364,93.45454545454545,96.18181818181819,81.0,170.1818181818182,160.0909090909091,136.72727272727272,133.45454545454547
71,116.45454545454545,120.9090909090909,99.36363636363636,96.72727272727273,118.18181818181819,146.8181818181818,148.36363636363637,136.63636363636363,138.9090909090909
72,124.0,139.0,100.27272727272727,96.9090909090909,100.0909090909091,154.0909090909091,151.9090909090909,140.1818181818182,143.72727272727272
73,125.9090909090909,132.72727272727272,109.18181818181819,102.63636363636364,70.45454545454545,174.36363636363637,161.45454545454547,142.72727272727272,147.63636363636363
74,132.27272727272728,140.0909090909091,109.9090909090909,114.72727272727273,100.0,153.63636363636363,149.27272727272728,150.72727272727272,151.63636363636363
75,136.45454545454547,154.0,113.54545454545455,105.63636363636364,105.54545454545455,171.54545454545453,162.9090909090909,149.9090909090909,151.0
76,147.63636363636363,149.54545454545453,117.0,112.72727272727273,138.1818181818182,181.36363636363637,177.27272727272728,151.72727272727272,147.63636363636363
77,159.72727272727272,153.63636363636363,122.63636363636364,95.27272727272727,106.63636363636364,180.63636363636363,177.0909090909091,159.8181818181818,153.9090909090909
78,168.1818181818182,170.27272727272728,127.9090909090909,115.81818181818181,99.72727272727273,198.0909090909091,183.72727272727272,162.0909090909091,152.0909090909091
79,167.36363636363637,169.0909090909091,128.0909090909091,128.63636363636363,158.36363636363637,180.63636363636363,179.8181818181818,168.1818181818182,155.27272727272728
80,169.72727272727272,180.1818181818182,135.36363636363637,136.0909090909091,115.0909090909091,211.72727272727272,180.1818181818182,171.1818181818182,160.45454545454547
81,173.54545454545453,179.63636363636363,138.1818181818182,121.54545454545455,109.81818181818181,184.27272727272728,185.63636363636363,172.27272727272728,164.45454545454547
82,182.45454545454547,186.63636363636363,144.27272727272728,161.9090909090909,147.27272727272728,210.0909090909091,175.0,177.1818181818182,165.9090909090909
83,188.27272727272728,196.72727272727272,144.45454545454547,136.63636363636363,172.0,206.0909090909091,203.72727272727272,177.1818181818182,165.36363636363637
84,203.0909090909091,200.8181818181818,155.27272727272728,129.9090909090909,159.27272727272728,206.54545454545453,178.72727272727272,180.63636363636363,168.8181818181818
85,206.72727272727272,211.1818181818182,153.9090909090909,169.63636363636363,168.72727272727272,223.0,199.72727272727272,188.54545454545453,179.0909090909091
86,229.8181818181818,220.9090909090909,163.54545454545453,156.0,140.9090909090909,230.0,195.45454545454547,192.9090909090909,185.45454545454547
87,222.36363636363637,224.45454545454547,171.8181818181818,154.0909090909091,154.27272727272728,227.1818181818182,218.45454545454547,187.63636363636363,183.0
88,232.0909090909091,230.72727272727272,177.0,172.54545454545453,186.27272727272728,234.9090909090909,226.0909090909091,205.36363636363637,183.1818181818182
89,223.72727272727272,239.0,170.72727272727272,154.0909090909091,164.54545454545453,235.9090909090909,222.54545454545453,197.27272727272728,191.63636363636363
90,232.45454545454547,247.45454545454547,182.63636363636363,205.1818181818182,160.36363636363637,247.72727272727272,229.72727272727272,200.0,191.72727272727272
91,242.27272727272728,257.45454545454544,187.1818181818182,179.8181818181818,171.9090909090909,233.54545454545453,221.36363636363637,197.63636363636363,189.63636363636363
92,255.0909090909091,264.45454545454544,202.1818181818182,200.1818181818182,183.0,260.8181818181818,242.0,204.1818181818182,197.0
93,254.27272727272728,273.0,199.8181818181818,180.27272727272728,194.36363636363637,233.0909090909091,244.9090909090909,207.27272727272728,192.36363636363637
94,263.54545454545456,284.90909090909093,205.1818181818182,215.45454545454547,204.63636363636363,266.54545454545456,256.1818181818182,212.0,194.36363636363637
95,267.1818181818182,285.72727272727275,208.27272727272728,202.45454545454547,196.1818181818182,254.9090909090909,262.27272727272725,214.0,199.0
96,275.09090909090907,298.0,221.36363636363637,189.1818181818182,203.72727272727272,278.6363636363636,274.27272727272725,218.72727272727272,202.0909090909091
97,284.09090909090907,301.8181818181818,219.36363636363637,217.54545454545453,192.36363636363637,288.45454545454544,275.6363636363636,222.54545454545453,206.63636363636363
98,295.3636363636364,315.3636363636364,229.8181818181818,209.36363636363637,235.9090909090909,279.6363636363636,290.09090909090907,227.1818181818182,221.0
99,306.1818181818182,321.72727272727275,240.1818181818182,227.36363636363637,205.36363636363637,307.3636363636364,313.45454545454544,231.27272727272728,212.63636363636363
100,316.3636363636364,351.90909090909093,242.72727272727272,212.54545454545453,203.9090909090909,320.0,283.90909090909093,241.0909090909091,221.27272727272728
