N,auto,dynamic,guided,static
2,72.0,64.27272727272727,66.36363636363636,52.63636363636363
3,42.36363636363637,43.81818181818182,52.63636363636363,56.45454545454545
4,37.36363636363637,35.63636363636363,14.909090909090908,54.90909090909091
5,56.54545454545455,30.0,16.90909090909091,15.090909090909092
6,34.90909090909091,21.727272727272727,16.818181818181817,42.90909090909091
7,13.272727272727273,23.636363636363637,3.909090909090909,7.7272727272727275
8,4.545454545454546,22.09090909090909,2.909090909090909,4.181818181818182
9,19.363636363636363,17.545454545454547,3.727272727272727,4.909090909090909
10,4.0,8.545454545454545,3.272727272727273,9.818181818181818
11,6.363636363636363,9.636363636363637,14.545454545454545,16.90909090909091
12,2.4545454545454546,11.727272727272727,12.727272727272727,12.363636363636363
13,11.818181818181818,8.090909090909092,5.090909090909091,14.363636363636363
14,16.90909090909091,11.545454545454545,6.7272727272727275,2.090909090909091
15,3.4545454545454546,48.54545454545455,5.2727272727272725,3.272727272727273
16,6.363636363636363,18.636363636363637,9.818181818181818,3.909090909090909
17,6.0,11.545454545454545,14.545454545454545,7.181818181818182
18,11.909090909090908,9.909090909090908,3.909090909090909,15.0
19,48.90909090909091,33.81818181818182,6.7272727272727275,9.090909090909092
20,41.09090909090909,8.363636363636363,6.0,6.181818181818182
21,54.90909090909091,8.545454545454545,14.727272727272727,3.909090909090909
22,18.363636363636363,8.272727272727273,9.363636363636363,4.0
23,24.727272727272727,13.090909090909092,6.7272727272727275,4.363636363636363
24,77.54545454545455,17.09090909090909,11.363636363636363,8.909090909090908
25,57.18181818181818,46.09090909090909,14.0,14.363636363636363
26,19.272727272727273,16.09090909090909,30.363636363636363,7.454545454545454
27,46.0,29.90909090909091,17.181818181818183,7.181818181818182
28,28.636363636363637,14.454545454545455,14.181818181818182,9.727272727272727
29,37.81818181818182,30.636363636363637,52.27272727272727,10.454545454545455
30,49.90909090909091,34.09090909090909,20.545454545454547,27.90909090909091
31,44.18181818181818,40.18181818181818,43.27272727272727,45.09090909090909
32,81.0,32.54545454545455,17.818181818181817,39.45454545454545
33,59.45454545454545,56.0,10.363636363636363,20.454545454545453
34,20.0,34.18181818181818,10.363636363636363,18.818181818181817
35,21.181818181818183,28.272727272727273,12.636363636363637,8.909090909090908
36,28.363636363636363,35.81818181818182,27.272727272727273,10.0
37,18.363636363636363,53.27272727272727,16.727272727272727,15.909090909090908
38,20.272727272727273,61.90909090909091,38.63636363636363,31.90909090909091
39,54.72727272727273,78.63636363636364,27.545454545454547,13.454545454545455
40,37.45454545454545,68.45454545454545,18.727272727272727,18.363636363636363
41,16.727272727272727,55.54545454545455,39.18181818181818,18.636363636363637
42,28.181818181818183,48.36363636363637,53.18181818181818,17.363636363636363
43,22.09090909090909,58.27272727272727,52.27272727272727,19.636363636363637
44,34.72727272727273,39.72727272727273,40.81818181818182,22.90909090909091
45,32.0,50.81818181818182,45.27272727272727,48.36363636363637
46,43.18181818181818,65.0909090909091,66.36363636363636,93.36363636363636
47,46.81818181818182,102.45454545454545,32.0,57.45454545454545
48,44.72727272727273,52.54545454545455,29.636363636363637,59.45454545454545
49,32.72727272727273,67.0,28.181818181818183,27.181818181818183
50,30.272727272727273,53.63636363636363,42.63636363636363,25.454545454545453
51,37.72727272727273,57.27272727272727,68.36363636363636,48.0
52,26.454545454545453,110.72727272727273,57.18181818181818,32.54545454545455
53,31.0,74.9090909090909,69.63636363636364,29.90909090909091
54,43.63636363636363,68.0,70.9090909090909,53.72727272727273
55,64.27272727272727,96.54545454545455,51.27272727272727,25.545454545454547
56,36.36363636363637,77.27272727272727,37.18181818181818,73.63636363636364
57,49.45454545454545,103.72727272727273,48.54545454545455,76.9090909090909
58,90.45454545454545,137.72727272727272,80.0909090909091,42.90909090909091
59,40.09090909090909,77.27272727272727,65.0909090909091,44.81818181818182
60,58.90909090909091,79.63636363636364,95.27272727272727,48.09090909090909
61,39.90909090909091,100.27272727272727,69.81818181818181,40.90909090909091
62,66.27272727272727,150.36363636363637,59.18181818181818,70.0909090909091
63,78.27272727272727,89.45454545454545,60.81818181818182,57.81818181818182
64,74.0909090909091,93.0909090909091,88.81818181818181,93.45454545454545
65,91.27272727272727,141.63636363636363,90.81818181818181,69.72727272727273
66,62.90909090909091,134.63636363636363,87.45454545454545,62.36363636363637
67,65.0,105.63636363636364,94.72727272727273,83.27272727272727
68,87.81818181818181,104.45454545454545,88.54545454545455,94.45454545454545
69,119.45454545454545,206.72727272727272,104.0,62.27272727272727
70,68.63636363636364,107.81818181818181,82.18181818181819,91.63636363636364
71,50.36363636363637,172.63636363636363,105.54545454545455,90.27272727272727
72,80.18181818181819,192.63636363636363,116.45454545454545,91.9090909090909
73,95.9090909090909,157.1818181818182,102.72727272727273,78.0
74,130.0,231.63636363636363,101.27272727272727,78.36363636363636
75,83.36363636363636,128.72727272727272,113.0909090909091,98.81818181818181
76,69.0909090909091,168.9090909090909,133.63636363636363,120.0
77,106.0,216.0909090909091,147.72727272727272,90.27272727272727
78,147.9090909090909,152.36363636363637,117.54545454545455,120.36363636363636
79,113.27272727272727,267.1818181818182,127.63636363636364,131.0909090909091
80,74.27272727272727,147.63636363636363,119.63636363636364,97.27272727272727
81,140.63636363636363,232.0,164.9090909090909,108.63636363636364
82,137.36363636363637,190.8181818181818,134.63636363636363,122.63636363636364
83,101.45454545454545,224.72727272727272,165.27272727272728,111.0
84,107.36363636363636,219.36363636363637,140.9090909090909,125.45454545454545
85,144.0,220.45454545454547,148.72727272727272,141.1818181818182
86,153.72727272727272,246.54545454545453,163.36363636363637,146.54545454545453
87,93.9090909090909,273.0,179.9090909090909,147.63636363636363
88,156.63636363636363,218.8181818181818,190.63636363636363,129.9090909090909
89,178.1818181818182,335.3636363636364,188.9090909090909,158.0909090909091
90,119.0,222.8181818181818,215.45454545454547,165.27272727272728
91,175.0,288.8181818181818,152.27272727272728,143.54545454545453
92,180.36363636363637,267.45454545454544,218.1818181818182,197.72727272727272
93,147.8181818181818,289.8181818181818,184.1818181818182,157.9090909090909
94,207.1818181818182,313.72727272727275,222.0909090909091,170.0
95,137.0,287.90909090909093,189.27272727272728,204.54545454545453
96,201.0,305.09090909090907,212.54545454545453,190.0
97,184.0,323.90909090909093,207.27272727272728,180.27272727272728
98,195.27272727272728,304.6363636363636,221.1818181818182,204.36363636363637
99,201.0,301.90909090909093,235.54545454545453,189.36363636363637
100,200.0,458.90909090909093,236.8181818181818,210.1818181818182
