N,auto,dynamic,guided,static
2,115.18181818181819,44.45454545454545,43.27272727272727,34.45454545454545
3,60.63636363636363,73.27272727272727,76.0,42.90909090909091
4,13.454545454545455,11.181818181818182,65.45454545454545,47.81818181818182
5,20.818181818181817,3.1818181818181817,15.909090909090908,38.09090909090909
6,11.454545454545455,8.636363636363637,9.818181818181818,14.909090909090908
7,28.0,22.363636363636363,24.0,15.636363636363637
8,2.909090909090909,8.727272727272727,10.545454545454545,10.636363636363637
9,3.5454545454545454,18.90909090909091,9.090909090909092,6.090909090909091
10,5.181818181818182,18.545454545454547,5.363636363636363,10.272727272727273
11,3.272727272727273,12.818181818181818,5.2727272727272725,9.727272727272727
12,4.363636363636363,9.545454545454545,12.545454545454545,8.272727272727273
13,17.454545454545453,4.363636363636363,5.7272727272727275,31.727272727272727
14,14.181818181818182,7.454545454545454,8.090909090909092,7.818181818181818
15,10.636363636363637,10.545454545454545,6.636363636363637,13.454545454545455
16,23.272727272727273,11.818181818181818,7.636363636363637,23.363636363636363
17,39.27272727272727,19.727272727272727,4.2727272727272725,3.5454545454545454
18,12.454545454545455,17.90909090909091,5.181818181818182,4.0
19,18.09090909090909,9.545454545454545,5.181818181818182,4.090909090909091
20,36.0,20.545454545454547,5.818181818181818,4.0
21,44.45454545454545,34.54545454545455,4.909090909090909,5.090909090909091
22,35.72727272727273,14.818181818181818,5.7272727272727275,4.363636363636363
23,62.72727272727273,17.272727272727273,9.090909090909092,6.818181818181818
24,36.81818181818182,21.636363636363637,17.0,6.181818181818182
25,44.09090909090909,31.818181818181817,41.09090909090909,27.90909090909091
26,27.454545454545453,17.181818181818183,9.818181818181818,6.2727272727272725
27,25.545454545454547,27.0,12.272727272727273,7.7272727272727275
28,52.36363636363637,35.90909090909091,26.0,25.545454545454547
29,51.81818181818182,51.27272727272727,49.18181818181818,6.909090909090909
30,27.363636363636363,15.636363636363637,35.45454545454545,7.090909090909091
31,32.72727272727273,28.636363636363637,14.818181818181818,7.909090909090909
32,52.72727272727273,34.45454545454545,12.090909090909092,32.45454545454545
33,42.45454545454545,26.90909090909091,31.727272727272727,14.818181818181818
34,70.0,28.09090909090909,22.818181818181817,14.636363636363637
35,25.0,80.72727272727273,28.09090909090909,29.0
36,52.81818181818182,78.0909090909091,27.818181818181817,24.545454545454547
37,17.727272727272727,67.54545454545455,16.90909090909091,40.81818181818182
38,25.545454545454547,59.18181818181818,26.545454545454547,27.90909090909091
39,22.363636363636363,51.45454545454545,25.90909090909091,29.363636363636363
40,46.90909090909091,41.72727272727273,59.09090909090909,23.09090909090909
41,18.09090909090909,43.63636363636363,53.09090909090909,23.363636363636363
42,33.72727272727273,58.45454545454545,38.63636363636363,25.181818181818183
43,53.90909090909091,78.63636363636364,53.36363636363637,25.454545454545453
44,28.818181818181817,70.54545454545455,49.90909090909091,24.727272727272727
45,40.09090909090909,59.27272727272727,56.54545454545455,53.09090909090909
46,39.90909090909091,45.36363636363637,40.18181818181818,26.0
47,23.09090909090909,56.09090909090909,31.272727272727273,48.36363636363637
48,32.63636363636363,55.81818181818182,41.72727272727273,62.0
49,27.818181818181817,109.0909090909091,54.90909090909091,44.81818181818182
50,39.90909090909091,76.36363636363636,73.81818181818181,41.36363636363637
51,50.54545454545455,86.63636363636364,60.90909090909091,50.72727272727273
52,28.727272727272727,62.18181818181818,41.54545454545455,42.90909090909091
53,36.90909090909091,76.36363636363636,47.36363636363637,36.81818181818182
54,36.18181818181818,111.9090909090909,59.45454545454545,27.727272727272727
55,75.27272727272727,85.36363636363636,46.90909090909091,31.181818181818183
56,68.36363636363636,98.63636363636364,65.72727272727273,55.18181818181818
57,58.18181818181818,105.36363636363636,64.0,54.90909090909091
58,65.54545454545455,80.54545454545455,76.0909090909091,65.54545454545455
59,60.54545454545455,91.27272727272727,52.90909090909091,82.36363636363636
60,45.45454545454545,129.72727272727272,95.72727272727273,62.63636363636363
61,67.0909090909091,114.9090909090909,47.18181818181818,44.36363636363637
62,56.90909090909091,98.63636363636364,56.36363636363637,63.54545454545455
63,96.27272727272727,109.45454545454545,87.81818181818181,38.36363636363637
64,77.72727272727273,129.9090909090909,86.54545454545455,105.54545454545455
65,54.54545454545455,159.9090909090909,125.18181818181819,80.0909090909091
66,80.36363636363636,120.81818181818181,57.09090909090909,81.9090909090909
67,53.63636363636363,114.27272727272727,57.54545454545455,62.18181818181818
68,97.0909090909091,185.8181818181818,101.72727272727273,61.54545454545455
69,94.45454545454545,116.45454545454545,131.63636363636363,72.54545454545455
70,68.27272727272727,153.1818181818182,101.27272727272727,110.81818181818181
71,97.9090909090909,174.8181818181818,68.0909090909091,93.36363636363636
72,82.27272727272727,135.0,89.0909090909091,83.72727272727273
73,101.36363636363636,156.36363636363637,133.0909090909091,76.18181818181819
74,123.27272727272727,181.0,102.0,81.0
75,57.36363636363637,157.27272727272728,96.27272727272727,156.63636363636363
76,96.54545454545455,207.63636363636363,120.63636363636364,147.36363636363637
77,123.9090909090909,161.72727272727272,123.81818181818181,68.27272727272727
78,120.45454545454545,205.36363636363637,136.36363636363637,248.54545454545453
79,96.72727272727273,201.72727272727272,129.36363636363637,152.8181818181818
80,118.36363636363636,187.72727272727272,137.63636363636363,105.36363636363636
81,110.0,242.72727272727272,142.54545454545453,106.72727272727273
82,127.18181818181819,218.63636363636363,138.8181818181818,153.27272727272728
83,109.27272727272727,210.0909090909091,147.9090909090909,124.0
84,130.8181818181818,232.72727272727272,150.0,120.54545454545455
85,125.0909090909091,201.0,140.63636363636363,106.63636363636364
86,151.27272727272728,242.72727272727272,154.54545454545453,158.9090909090909
87,129.72727272727272,258.27272727272725,183.72727272727272,135.72727272727272
88,188.0909090909091,238.54545454545453,144.36363636363637,127.81818181818181
89,124.36363636363636,243.72727272727272,193.1818181818182,151.9090909090909
90,134.27272727272728,254.8181818181818,191.54545454545453,156.36363636363637
91,200.72727272727272,284.54545454545456,159.63636363636363,126.18181818181819
92,169.27272727272728,263.8181818181818,223.27272727272728,184.1818181818182
93,193.1818181818182,295.1818181818182,178.36363636363637,160.0
94,206.27272727272728,300.90909090909093,202.63636363636363,164.45454545454547
95,146.8181818181818,270.72727272727275,195.0,182.63636363636363
96,234.63636363636363,309.6363636363636,196.0909090909091,161.9090909090909
97,156.72727272727272,339.90909090909093,210.0,205.63636363636363
98,210.54545454545453,289.0,209.54545454545453,191.9090909090909
99,179.1818181818182,344.27272727272725,213.63636363636363,189.63636363636363
100,196.63636363636363,351.72727272727275,230.0909090909091,209.45454545454547
