chunk size,t
1,147.0
2,101.36363636363636
3,127.0
4,99.45454545454545
5,99.63636363636364
6,125.45454545454545
7,106.18181818181819
8,90.72727272727273
9,116.54545454545455
10,103.54545454545455
11,102.63636363636364
12,95.54545454545455
13,108.45454545454545
14,131.1818181818182
15,102.81818181818181
16,84.54545454545455
17,115.9090909090909
18,109.81818181818181
19,118.18181818181819
20,88.0909090909091
21,112.18181818181819
22,127.72727272727273
23,118.45454545454545
24,88.63636363636364
25,122.72727272727273
26,131.0909090909091
27,105.36363636363636
28,75.27272727272727
29,119.54545454545455
30,133.0
31,122.9090909090909
32,115.0
33,120.36363636363636
34,113.45454545454545
35,108.54545454545455
36,93.0
37,116.0
38,124.0909090909091
39,92.36363636363636
40,123.9090909090909
41,149.63636363636363
42,108.0909090909091
43,111.72727272727273
44,128.1818181818182
45,101.81818181818181
46,101.0909090909091
47,118.27272727272727
48,126.54545454545455
49,97.45454545454545
50,102.36363636363636
51,113.63636363636364
52,153.36363636363637
53,127.18181818181819
54,100.0
55,140.0
56,128.8181818181818
57,90.0
58,113.9090909090909
59,136.8181818181818
60,115.81818181818181
61,100.45454545454545
62,113.45454545454545
63,131.36363636363637
64,120.18181818181819
65,103.9090909090909
66,140.45454545454547
67,115.0
68,107.36363636363636
69,131.0909090909091
70,114.27272727272727
71,133.72727272727272
72,111.27272727272727
73,138.54545454545453
74,131.36363636363637
75,111.45454545454545
76,123.72727272727273
77,135.45454545454547
78,92.0909090909091
79,99.27272727272727
80,129.0909090909091
81,127.54545454545455
82,95.0
83,124.54545454545455
84,136.8181818181818
85,114.45454545454545
86,102.18181818181819
87,104.72727272727273
88,137.45454545454547
89,103.0
90,107.9090909090909
91,130.54545454545453
92,135.63636363636363
93,90.81818181818181
94,138.36363636363637
95,116.45454545454545
96,114.27272727272727
97,110.81818181818181
98,102.9090909090909
99,132.1818181818182
100,111.72727272727273
101,107.63636363636364
102,122.27272727272727
103,111.36363636363636
104,113.0909090909091
105,119.54545454545455
106,145.9090909090909
107,133.0
108,138.72727272727272
109,128.45454545454547
110,149.0
111,107.18181818181819
112,111.36363636363636
113,125.0
114,151.45454545454547
115,103.45454545454545
116,122.54545454545455
117,128.63636363636363
118,112.0
119,106.63636363636364
120,130.63636363636363
121,118.18181818181819
122,110.63636363636364
123,104.18181818181819
124,141.9090909090909
125,110.9090909090909
126,106.63636363636364
127,130.0909090909091
128,124.9090909090909
