N,E
2,0.0
3,0.0037561682174158547
4,0.0
5,0.0
6,0.0005244162013758213
7,0.0021645021645021645
8,0.0023135547087642892
9,0.007746639325586694
10,0.006353358871344482
11,0.011564625850340135
12,0.010349025974025974
13,0.012366049251295152
14,0.01087349481353764
15,0.010670572235589497
16,0.012147119289976433
17,0.01689750330233714
18,0.017976934007468356
19,0.018426443388158548
20,0.01667914590379799
21,0.01643549885050471
22,0.01738714543247121
23,0.01535951535951536
24,0.020691385908777216
25,0.017421288389030325
26,0.019113395438483775
27,0.0177419956017742
28,0.021490944732797224
29,0.0184053040649599
30,0.018655227454110135
31,0.021974512606831108
32,0.019772362468991684
33,0.02099434308023265
34,0.020510602456264158
35,0.02170416456130742
36,0.020182520182520182
37,0.018989358731326855
38,0.019827385117797993
39,0.019114646233290306
40,0.020933364043868818
41,0.02148308160332208
42,0.018973880503428592
43,0.02029845407731191
44,0.02030931889115101
45,0.019586168241759953
46,0.019695995183739053
47,0.019072909688198688
48,0.019470662913285867
49,0.020724293202613604
50,0.020529226075718738
51,0.020708147573819218
52,0.01830464434411313
53,0.01921785331923581
54,0.019385621565784477
55,0.019462202113824118
56,0.019481968277149004
57,0.02115079913652846
58,0.02023067427969693
59,0.020388888056009476
60,0.020086614112945416
61,0.020004847681087894
62,0.02007083825265643
63,0.019435597263338527
64,0.020604793398594518
65,0.021384476201110697
66,0.021238554072655454
67,0.021281843156843155
68,0.02184847880520286
69,0.021565263818784947
70,0.02193896440471783
71,0.021670417149026393
72,0.021614112922639626
73,0.023215559123051684
74,0.022671953400194962
75,0.02282358709737675
76,0.022674912089244572
77,0.02366452061945363
78,0.023307733523843546
79,0.023645412728808237
80,0.02442851939131275
81,0.024766780457220517
82,0.026443019820503264
83,0.026380002744233223
84,0.02618944552909285
85,0.025911280465885395
86,0.026214479951134757
87,0.026981281982731677
88,0.0254644644455071
89,0.026539470938656277
90,0.026180468584695797
91,0.027853679883395988
92,0.026474359529729773
93,0.027708980809376598
94,0.02720459694839524
95,0.02641601054420589
96,0.02737188097916559
97,0.027933632914608354
98,0.027255306763831248
99,0.02780485665331509
100,0.028972874416224172
