N,E
2,0.0
3,0.041894852135815994
4,0.0
5,0.0
6,0.003825382538253825
7,0.018575174825174824
8,0.022537878787878787
9,0.068
10,0.062316715542521994
11,0.09306569343065693
12,0.09795134443021766
13,0.10286304604486422
14,0.11320208453966417
15,0.10606060606060606
16,0.1318726183995645
17,0.16875653082549635
18,0.19218087611869994
19,0.17844761171032356
20,0.19575757575757577
21,0.20530620007607456
22,0.20896710293597454
23,0.20896710293597454
24,0.25322481572481575
25,0.18672285161646865
26,0.2743741765480896
27,0.2724002616088946
28,0.2610254329004329
29,0.23203105434510393
30,0.3035714285714286
31,0.2655599117863269
32,0.3345193145512635
33,0.3088694972649127
34,0.3338685770750988
35,0.355239898989899
36,0.33745684695051786
37,0.3412042502951594
38,0.37849872773536897
39,0.3773784355179704
40,0.3997856981727949
41,0.40586756993006995
42,0.42982954545454544
43,0.4257502206531333
44,0.451227604512276
45,0.46114369501466274
46,0.4829545454545454
47,0.47316780136163394
48,0.5044433094994893
49,0.5285728683733119
50,0.5057411273486431
51,0.5192014484467314
52,0.5224512329775488
53,0.49107901444350044
54,0.5394372294372295
55,0.5326704545454546
56,0.5766295025728988
57,0.5541713103009075
58,0.6134734441186055
59,0.5666666666666667
60,0.6211332070707071
61,0.569218124642653
62,0.6274443946857741
63,0.6273017253878498
64,0.6223152775901661
65,0.6007682458386684
66,0.635244853599284
67,0.6164395948878707
68,0.6707482993197279
69,0.6471338713505815
70,0.6768929503916449
71,0.6456649319012291
72,0.6861202309521114
73,0.7059876081615212
74,0.7436666293016478
75,0.7405303030303031
76,0.761046511627907
77,0.776255707762557
78,0.789582062233069
79,0.7541365538227462
80,0.825238573581115
81,0.8346123573396301
82,0.8678826481374252
83,0.8190162494510321
84,0.9171584959543074
85,0.9203268641470889
86,0.9616248167155426
87,0.9504996462681288
88,0.9251526619076288
89,0.9146005509641874
90,0.9778921736158578
91,1.0340482688043664
92,1.0110844569443296
93,1.024628024852845
94,1.016216856060606
95,1.0311798839458413
96,1.0584303916204174
97,0.995234030445298
98,1.0564339042599913
99,1.0668066010422699
100,1.0612550830518988
