N,E
2,0.0
3,0.0
4,0.0010732323232323232
5,0.0018985928076837167
6,0.0023274917853231105
7,0.0011447811447811449
8,0.005083732057416268
9,0.006756085444610036
10,0.01284102017239847
11,0.006149982975825673
12,0.010660842487674077
13,0.015032023707102573
14,0.01512869660460022
15,0.019430279585018466
16,0.01867827785464312
17,0.024211666532937496
18,0.023814790238147903
19,0.027091633466135457
20,0.02965319105273959
21,0.03522727272727273
22,0.03669668187985691
23,0.0431301652892562
24,0.04666820782523262
25,0.044013098969995515
26,0.039268266779949025
27,0.04411764705882353
28,0.04550411420640429
29,0.04703735923831617
30,0.050233159425642916
31,0.04901916265552629
32,0.043155832733669144
33,0.04692880041160406
34,0.048335734324057925
35,0.051210514607741356
36,0.05519480519480519
37,0.053993018066652285
38,0.059714795008912656
39,0.05422647527910685
40,0.05711950599346168
41,0.05588301972341872
42,0.05955329153605015
43,0.05937992643194956
44,0.06069015075069566
45,0.06198347107438016
46,0.055545103351394745
47,0.05756894216270094
48,0.06364517265680057
49,0.06414407377544849
50,0.06446381887239185
51,0.06444476333979096
52,0.06614404137899185
53,0.07123734140379466
54,0.06661442006269593
55,0.06866744366744366
56,0.06939993854527896
57,0.07194421388318553
58,0.07730941026692273
59,0.07714566382642492
60,0.0845585935055997
61,0.08003246753246754
62,0.08011525369747398
63,0.08106811327405897
64,0.07707797243469984
65,0.07938771883053408
66,0.08019695536251828
67,0.0815900482093664
68,0.08550850818061134
69,0.08541042291042293
70,0.0857901180867688
71,0.08943473404080561
72,0.09260235459497453
73,0.0936168013232394
74,0.09792006460705294
75,0.09807742570299649
76,0.10586376673773333
77,0.11748717706661632
78,0.12289764911841941
79,0.12084530318475273
80,0.11938777045529775
81,0.1235457590985229
82,0.12722425236781268
83,0.12804594189615795
84,0.13674530475861274
85,0.1400591278640059
86,0.15128985017460855
87,0.14456867898813747
88,0.14815055026079357
89,0.1415573781585394
90,0.14584172101886894
91,0.1527910804138731
92,0.15847629931828147
93,0.15686733791683713
94,0.16232872200263507
95,0.16461622604707557
96,0.16647249944985953
97,0.17292843936355823
98,0.175394083351328
99,0.1825835172264245
100,0.18484265253580626
