N,E
2,0.0
3,0.0
4,0.0010614385614385613
5,0.0018267784225231033
6,0.002525252525252525
7,0.001070259380508688
8,0.004780652418447694
9,0.007121910347716799
10,0.011813276651406149
11,0.005147477913935594
12,0.010057940264403459
13,0.015388002739994128
14,0.015470412544334514
15,0.01973566708340775
16,0.018813017460447577
17,0.02617539902845246
18,0.026264433241177425
19,0.029694323144104803
20,0.03209209357417827
21,0.03857414726979945
22,0.04094694102264125
23,0.04740832275733084
24,0.051013961715838024
25,0.04859093999134787
26,0.04348465247559685
27,0.04793233082706767
28,0.049972781709308654
29,0.05288539911970874
30,0.05553570517074167
31,0.05494757202483966
32,0.04743178522782196
33,0.05170045781556573
34,0.05312057328555954
35,0.057547287726022835
36,0.06010477252808541
37,0.058110934655459585
38,0.06368109135636811
39,0.05853512481754557
40,0.06302605210420842
41,0.058750425604358184
42,0.06544317751214301
43,0.06528462192013594
44,0.0652320383882206
45,0.06581069746435254
46,0.06292449344965756
47,0.0626599532658284
48,0.06854095516886215
49,0.06922878198678378
50,0.06911391400920196
51,0.07026808532832629
52,0.07187664667653627
53,0.0773156804285209
54,0.07253450223466432
55,0.0732330002437241
56,0.07292099072920992
57,0.07485795454545455
58,0.08118258859784284
59,0.0818975289050102
60,0.0890746517861066
61,0.08730106027403324
62,0.08639583556938929
63,0.08846219600803522
64,0.08455299485712077
65,0.08372539831302718
66,0.08678151291787656
67,0.08724087779373318
68,0.09055761470905074
69,0.09317500681137045
70,0.09486843746103005
71,0.09571297972961094
72,0.0943092340730136
73,0.092213275265145
74,0.09833113362062111
75,0.10179600108510062
76,0.11009906044122572
77,0.12430706996720546
78,0.13059980399647858
79,0.12763241603184183
80,0.12322188402646209
81,0.12694805194805195
82,0.13201086451852542
83,0.13896476049133225
84,0.14634390702549402
85,0.14584842448388263
86,0.1615760583502519
87,0.15525635855847783
88,0.1605446555397727
89,0.15281917536015896
90,0.15323899770153843
91,0.15511586184228546
92,0.16381631363498997
93,0.16279889890164068
94,0.16719931061623852
95,0.1672592027209791
96,0.1701304370832892
97,0.1778183157049136
98,0.18384526282153701
99,0.18897367517756714
100,0.1919956382329651
