chunk size,t
1,106.0
2,106.63636363636364
3,103.63636363636364
4,115.72727272727273
5,115.18181818181819
6,100.54545454545455
7,109.36363636363636
8,122.63636363636364
9,91.9090909090909
10,123.81818181818181
11,132.0909090909091
12,87.9090909090909
13,90.9090909090909
14,123.54545454545455
15,128.27272727272728
16,106.45454545454545
17,84.27272727272727
18,113.36363636363636
19,129.36363636363637
20,92.63636363636364
21,112.54545454545455
22,112.45454545454545
23,152.9090909090909
24,116.72727272727273
25,91.36363636363636
26,143.63636363636363
27,134.54545454545453
28,110.45454545454545
29,88.54545454545455
30,126.18181818181819
31,152.54545454545453
32,111.9090909090909
33,138.0909090909091
34,129.72727272727272
35,136.0
36,107.9090909090909
37,142.63636363636363
38,127.18181818181819
39,119.81818181818181
40,100.81818181818181
41,99.81818181818181
42,136.72727272727272
43,128.1818181818182
44,126.81818181818181
45,93.63636363636364
46,124.36363636363636
47,143.27272727272728
48,106.63636363636364
49,124.54545454545455
50,119.36363636363636
51,130.63636363636363
52,123.81818181818181
53,105.36363636363636
54,125.0909090909091
55,150.54545454545453
56,92.27272727272727
57,101.45454545454545
58,166.27272727272728
59,133.36363636363637
60,112.63636363636364
61,150.8181818181818
62,150.63636363636363
63,106.9090909090909
64,93.9090909090909
65,119.54545454545455
66,139.9090909090909
67,101.63636363636364
68,99.81818181818181
69,147.0
70,130.27272727272728
71,114.63636363636364
72,148.72727272727272
73,138.45454545454547
74,117.0
75,149.63636363636363
76,129.8181818181818
77,116.81818181818181
78,131.36363636363637
79,182.72727272727272
80,94.63636363636364
81,158.8181818181818
82,185.27272727272728
83,120.45454545454545
84,106.0
85,151.0909090909091
86,137.45454545454547
87,158.0909090909091
88,252.8181818181818
89,183.54545454545453
90,147.0
91,148.0
92,157.0909090909091
93,140.0
94,95.27272727272727
95,112.9090909090909
96,172.1818181818182
97,114.45454545454545
98,119.63636363636364
99,154.0
100,140.45454545454547
101,140.0909090909091
102,165.9090909090909
103,163.72727272727272
104,133.8181818181818
105,277.27272727272725
106,169.63636363636363
107,161.27272727272728
108,117.9090909090909
109,139.0
110,135.72727272727272
111,116.45454545454545
112,139.27272727272728
113,109.54545454545455
114,138.9090909090909
115,109.0909090909091
116,121.45454545454545
117,112.36363636363636
118,135.8181818181818
119,117.27272727272727
120,118.9090909090909
121,139.0909090909091
122,160.63636363636363
123,120.81818181818181
124,151.54545454545453
125,151.45454545454547
126,126.9090909090909
127,114.72727272727273
128,137.72727272727272
