N,1,2,3,4,5,6,7,8
128,1.0772413793103448,0.9949044585987261,1.5374015748031495,2.84,1.9095354523227384,2.055263157894737,1.7912844036697249,1.8162790697674418
256,0.8388422675115602,1.7720694645441388,1.8517958412098299,2.9102792632204397,1.4435602711464781,1.7066202090592335,1.9702333065164923,2.1066666666666665
384,0.9775787523162446,1.4694085971590383,1.9948323670279808,2.410814927646611,1.8040579049355978,1.7192048663914838,1.9658427524531115,2.141677943166441
512,0.979241249645865,1.539935196435804,1.7915842050702102,2.250962050796282,1.9303919577579205,1.8959309863368905,2.014677829588809,2.2182613768961494
640,1.026883098391001,1.5094078988677033,2.0361387955617043,2.3449195252804422,1.8428947435668106,1.9526710529878428,2.0673068654149347,2.1479672375279226
768,1.0400475055436975,1.5378163643731657,2.007775925094594,2.3024269167126308,1.930818094915045,1.9535286409584425,2.1140334588179686,2.176570783001651
896,0.9996102715108475,1.5673665230741376,2.023630253737885,2.414111249259229,2.1865600168394463,2.2043076923076925,2.2310567010309277,2.274460002408504
1024,0.994633886669155,1.5752389904500725,2.112516082080339,2.4331998652845863,2.308689755079143,2.2804475151685195,2.2053901517464065,2.3322572777227792
