N,1,2,3,4,5,6,7,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.33333333333333337,0.03571428571428572,0.0008438818565400844,0.0007621951219512195,0.0002894356005788712,0.00017129153819801302,0.00013413816230717642,0.0001067463706233988
5,2.0,0.016129032258064516,0.008333333333333333,0.0010162601626016261,0.0005412719891745601,0.00038402457757296467,0.00038505968425105896,0.00027808676307007786
6,0.7499999999999999,0.011904761904761904,0.015873015873015872,0.0024834437086092716,0.0008207934336525308,0.0006172839506172839,0.0005466472303206997,0.0003799392097264437
7,0.16666666666666669,0.025,0.0040650406504065045,0.0020242914979757085,0.0004581901489117984,0.00030835646006783845,0.00027605244996549346,0.0001781895937277263
8,0.7857142857142857,0.06962025316455696,0.028871391076115485,0.02099236641221374,0.002231237322515213,0.0017816650469711693,0.0012848966242261417,0.0010809748427672956
9,1.4545454545454546,0.09523809523809523,0.02882882882882883,0.026315789473684213,0.0036994219653179194,0.002537266095781795,0.0018011932905549928,0.0015723270440251573
10,3.090909090909091,0.2125,0.11333333333333333,0.019101123595505618,0.007407407407407407,0.0056780227120908485,0.004000941397975994,0.002829560585885486
11,1.0625,0.14166666666666666,0.043256997455470736,0.034552845528455285,0.003632478632478632,0.0028136378682555446,0.0016520894071914481,0.0015787518573551263
12,1.526315789473684,0.1611111111111111,0.16111111111111112,0.11328124999999999,0.005544933078393881,0.004007739082365948,0.003306350473150154,0.003236607142857143
13,1.6818181818181819,0.2720588235294118,0.2740740740740741,0.225609756097561,0.006845513413506013,0.005535607420706165,0.004732062923647526,0.005473372781065089
14,1.625,0.2532467532467532,0.10317460317460318,0.14772727272727273,0.007878787878787877,0.0071823204419889505,0.0072450306520527585,0.006033415841584159
15,2.08,0.4126984126984127,0.1824561403508772,0.40625,0.011428571428571429,0.012506012506012507,0.009736004493540536,0.007701421800947867
16,1.542857142857143,0.28421052631578947,0.25352112676056343,0.15168539325842695,0.01298076923076923,0.0136986301369863,0.00929432013769363,0.007584269662921348
17,2.088235294117647,0.3817204301075268,0.10856269113149847,0.08874999999999998,0.01727493917274939,0.01724975704567541,0.012205604263365994,0.010862913096695227
18,1.7674418604651163,0.41304347826086957,0.10511756569847856,0.04589371980676329,0.021378340365682136,0.01431261770244821,0.013848396501457727,0.012226512226512226
19,1.872340425531915,0.49438202247191004,0.1657250470809793,0.0419047619047619,0.02262210796915167,0.018851756640959724,0.01726844583987441,0.014686248331108143
