N,E
2,0.0
3,0.0
4,0.00017129153819801302
5,0.00038402457757296467
6,0.0006172839506172839
7,0.00030835646006783845
8,0.0017816650469711693
9,0.002537266095781795
10,0.0056780227120908485
11,0.0028136378682555446
12,0.004007739082365948
13,0.005535607420706165
14,0.0071823204419889505
15,0.012506012506012507
16,0.0136986301369863
17,0.01724975704567541
18,0.01431261770244821
19,0.018851756640959724
20,0.022020725388601035
21,0.029356060606060608
22,0.03508771929824561
23,0.03833792470156106
24,0.04543280726924916
25,0.03697042366107114
26,0.0333716915995397
27,0.04039167686658507
28,0.05172413793103448
29,0.0565432098765432
30,0.06069227121858701
31,0.05311585110832288
32,0.04566702624955052
33,0.051724137931034475
34,0.06729475100942127
35,0.07816257816257817
36,0.07664075993091536
37,0.06723809523809525
38,0.06646825396825397
39,0.07082371054657428
40,0.08652210884353743
41,0.08641975308641975
42,0.0830546265328874
43,0.0723663144412424
44,0.07675871137409598
45,0.0894854586129754
46,0.10667485667485667
47,0.09288468279004557
48,0.08683596030356101
49,0.09026522001205545
50,0.11177753544165758
51,0.11193502824858757
52,0.0963407661520869
53,0.09756097560975609
54,0.10695598645737149
55,0.11084979617434931
56,0.10801393728222998
57,0.0935990338164251
58,0.11698584512905912
59,0.12276140958983246
60,0.12306501547987618
61,0.10793207722726215
62,0.11682704169750803
63,0.12924628450106157
64,0.11595672751859364
65,0.11701180138053885
66,0.13414037662020054
67,0.11776510350654835
68,0.1101983002832861
69,0.13769107916951862
70,0.13234051542036332
71,0.11189727463312367
72,0.1509517485613103
73,0.14196391963919638
74,0.12328418912048807
75,0.16823582156467162
76,0.13683855746545331
77,0.15609452736318408
78,0.18743667679837894
79,0.14858757062146893
80,0.1637719298245614
81,0.1537037037037037
82,0.1456247279059643
83,0.18311229000884174
84,0.15379319840286385
85,0.19307182883341822
86,0.17353102690829214
87,0.18014435115628225
88,0.1724068071312804
89,0.17981879292707872
90,0.1776434625538419
91,0.18107079766272594
92,0.18261095926070547
93,0.18639210982273757
94,0.18089354798452517
95,0.19430120322623298
96,0.17922293295427624
97,0.19587564247210731
98,0.18443460490463215
99,0.20576735092864126
100,0.19129287598944592
