N,E
2,11909090909.09091
3,2484848484.8484845
4,131.66666666666666
5,13.333333333333334
6,7.000000000000001
7,27.333333333333332
8,3.848484848484848
9,3.854166666666666
10,0.9803921568627452
11,2.568627450980392
12,0.6896551724137931
13,0.40540540540540543
14,1.0769230769230769
15,0.6089743589743589
16,0.43827160493827155
17,1.0234741784037558
18,1.0570175438596492
19,0.6704545454545454
20,0.23529411764705885
21,0.23118279569892472
22,0.20714285714285716
23,0.4311377245508982
24,0.24035087719298245
25,0.21441441441441444
26,0.17624521072796936
27,0.24242424242424243
28,0.22376543209876543
29,0.26346433770014555
30,0.3815104166666667
31,0.5433070866141733
32,0.31496062992125984
33,0.33691756272401435
34,0.41111111111111104
35,0.5117948717948718
36,0.4384976525821596
37,0.5779036827195466
38,0.33582089552238803
39,0.4085144927536232
40,0.6347256347256347
41,0.49014778325123154
42,0.46681580909768833
43,0.41740412979351027
44,0.3304782298358316
45,0.2652777777777778
46,0.31733845169545744
47,0.3477987421383648
48,0.2913165266106443
49,0.23260990539788537
50,0.24661246612466128
51,0.3243953732912724
52,0.258160237388724
53,0.27037037037037037
54,0.2810551558752998
55,0.2946723243752947
56,0.2347670250896057
57,0.24645161290322581
58,0.21945432977461446
59,0.2415686274509804
60,0.2994409503843466
61,0.3344109195402299
62,0.2608236536430834
63,0.2857631759069131
64,0.20829284094590217
65,0.24167459562321594
66,0.3561227590398055
67,0.25470852017937223
68,0.31191088260496996
69,0.22949461474730737
70,0.2511306198457036
71,0.3395784543325527
72,0.38000977517106554
73,0.2580024067388688
74,0.23780068728522333
75,0.27204086164779034
76,0.26580459770114945
77,0.24587364826408653
78,0.19027027027027024
79,0.2909650552236103
80,0.2820924834850919
81,0.21005762179151388
82,0.2567679787410729
83,0.25012071463061325
84,0.23455684870188
85,0.2663441805922017
86,0.2097837552742616
87,0.24570727718724447
88,0.2508160334247291
89,0.22429906542056074
90,0.24664320166862208
91,0.2296435272045028
92,0.2489902589688762
93,0.23406030270527944
94,0.25847993560998045
95,0.22524668254508332
96,0.2404714694866711
97,0.23360000000000003
98,0.23832974248486713
99,0.23545130641330167
100,0.21848659003831417
